START_TIME=1432223547187
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
496 -0.021 -0.041 -0.025
595 0.027 0.014 -0.020
685 0.170 0.145 -0.025
775 -0.813 0.304 0.361
857 0.321 0.501 0.228
945 -0.030 -0.024 0.072
1040 0.167 0.142 0.021
1135 0.098 -0.010 -0.030
1216 -0.050 -0.073 -0.124
1330 -0.047 -0.029 -0.055
1420 -0.132 -0.105 0.032
1512 -0.115 0.062 -0.039
1610 0.011 -0.025 -0.062
1735 0.077 -0.072 0.011
1825 0.043 -0.024 0.013
1905 0.083 -0.025 0.070
1995 -0.026 -0.008 0.049
2104 -0.097 0.062 0.004
2219 0.003 0.052 -0.035
2299 -0.052 0.023 0.009
2419 -0.076 0.040 -0.053
2509 -0.160 -0.100 -0.063
2606 -0.098 -0.040 -0.017
2739 0.022 0.032 0.016
2825 -0.008 0.008 0.024
2909 0.065 -0.004 0.036
3010 -0.014 -0.065 -0.001
3100 -0.065 0.013 0.019
3209 -0.012 0.062 -0.051
3293 0.003 0.029 0.016
3375 0.024 -0.012 0.015
3469 -0.038 -0.057 -0.009
3550 0.017 -0.020 -0.079
3655 -0.032 0.010 -0.067
3755 0.014 -0.036 -0.013
3865 -0.064 0.041 -0.012
3945 0.044 0.048 -0.027
4075 0.078 -0.026 -0.058
4170 0.116 0.060 -0.007
4295 0.047 -0.002 0.008
4404 0.052 -0.050 0.042
4510 0.034 0.067 0.000
4590 0.105 0.010 -0.031
4695 0.021 0.002 -0.002
4795 0.012 -0.003 0.048
4875 0.010 0.029 0.065
5045 0.014 -0.007 0.039
5135 -0.034 -0.013 0.055
5234 -0.058 0.029 0.032
5335 0.051 0.029 0.043
5470 -0.014 -0.029 0.030
5570 0.003 0.047 0.076
5650 0.272 0.067 -0.031
5735 0.264 -0.002 0.074
5816 -0.435 0.126 0.072
6010 0.011 0.057 0.026
6139 0.051 -0.043 0.122
6239 -0.072 0.078 0.091
6354 -0.067 0.065 0.058
6455 -0.047 0.023 0.048
6540 -0.041 0.031 0.009
6645 -0.148 0.080 0.129
6735 -0.028 0.027 0.019
6825 -0.059 -0.041 -0.019
6914 0.011 0.080 -0.077
7005 -0.028 0.031 -0.024
7085 0.132 0.018 -0.155
7170 -0.282 0.098 -0.531
7259 0.591 0.047 0.005
7379 0.724 0.484 -0.459
7460 2.411 1.766 0.400
7555 0.861 1.137 -0.221
7640 0.189 0.465 -0.364
7759 0.271 -0.201 -0.106
7888 0.049 -0.488 0.268
7968 -0.089 -0.238 -0.095
8051 -0.137 0.203 -0.009
8184 0.269 -0.415 -0.022
8294 0.052 -0.172 -0.079
8374 0.154 -0.003 -0.058
8481 0.067 -0.117 0.142
8583 0.050 -0.087 0.050
8672 0.387 -0.018 -0.091
8776 -0.534 -0.035 0.177
8874 -1.201 -0.993 0.217
8973 -0.141 -0.583 -0.143
9064 0.603 -0.043 0.042
9154 0.177 -0.247 0.159
9234 -0.322 -0.190 -0.113
9344 0.093 -0.249 -0.022
9424 0.470 0.351 -0.331
9515 -0.529 0.561 0.026
