START_TIME=1432051937401
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
420 -3.442 9.180 0.244
519 -4.380 3.239 8.154
664 -5.109 3.389 7.654
752 -5.415 3.767 7.256
966 -5.225 3.566 7.493
1050 -5.094 3.055 7.803
1335 -4.222 -0.450 8.840
1423 -4.728 0.388 8.583
1526 -5.480 0.748 8.098
1655 -7.101 -0.648 6.732
1740 -6.350 -3.890 6.381
1855 -3.821 -7.741 4.653
2074 2.543 -9.464 0.364
2181 3.621 -8.979 -1.561
2270 4.940 -7.565 -3.812
2394 2.623 -6.314 -7.030
2594 -1.134 -6.721 -7.051
2689 -1.386 -7.102 -6.619
2773 -1.908 -7.024 -6.572
2997 -3.568 -6.524 -6.393
3078 -3.914 -6.476 -6.238
3175 -4.248 -6.342 -6.156
3339 -4.532 -6.173 -6.126
3444 -4.615 -6.095 -6.143
3578 -4.686 -6.037 -6.146
3658 -7.728 -6.000 0.668
3780 -7.596 -5.244 3.312
3907 -7.298 -4.540 4.723
4030 -7.059 -4.164 5.386
4171 -6.877 -3.856 5.832
4270 -6.744 -3.439 6.234
4360 -6.711 -3.016 6.484
4442 -6.862 -2.618 6.498
4549 -7.053 -2.387 6.382
4844 -7.277 -2.291 6.162
4959 -7.214 -2.205 6.267
5095 -7.108 -2.159 6.402
5184 -6.990 -1.999 6.581
5265 -7.000 -1.770 6.637
5349 -6.968 -1.732 6.679
5480 -6.745 -1.674 6.919
5604 -6.603 -1.660 7.058
5698 -6.327 -1.667 7.305
5846 -6.036 -1.660 7.549
5930 -5.909 -1.697 7.640
6035 -5.627 -1.754 7.838
6120 -5.585 -1.669 7.886
6219 -5.572 -1.590 7.912
6370 -5.692 -1.509 7.842
6619 -5.521 -1.643 7.936
6708 -5.459 -1.650 7.978
6849 -5.407 -1.657 8.012
6939 -5.485 -1.660 7.958
7040 -5.608 -1.517 7.901
7185 -5.998 -1.210 7.664
7370 -6.114 -1.139 7.583
7454 -6.024 -1.258 7.636
7541 -5.832 -1.338 7.770
7685 -5.647 -1.436 7.888
7772 -5.441 -1.569 8.007
7911 -5.057 -1.728 8.222
8011 -4.776 -1.792 8.375
8106 -4.730 -1.704 8.420
8217 -4.771 -1.698 8.398
8313 -4.667 -1.733 8.449
8445 -4.553 -1.755 8.506
8551 -4.487 -1.757 8.541
8668 -4.411 -1.719 8.588
8794 -4.428 -1.696 8.584
9346 -4.432 -1.681 8.585
9427 -4.396 -1.668 8.606
9569 -4.380 -1.660 8.616
