START_TIME=1432224291852
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
427 8.416 -3.956 -3.114
541 -2.814 -0.075 9.394
633 -3.055 0.090 9.318
806 -3.031 0.617 9.306
896 -3.037 0.840 9.287
1071 -2.876 0.645 9.353
1168 -2.416 1.056 9.446
1353 -2.224 2.542 9.207
1451 -2.206 3.139 9.025
1567 -2.411 3.497 8.839
1663 -2.552 4.264 8.454
1912 -3.380 4.942 7.767
2002 -6.127 3.795 6.651
2187 -2.916 2.506 9.022
2317 -5.188 -4.345 7.097
2413 -6.170 -5.501 5.276
2526 -7.646 -5.084 3.445
2676 -8.150 -3.464 4.212
2952 -7.663 1.595 5.908
3137 -7.532 2.702 5.668
3228 -6.780 2.597 6.592
3312 -5.824 2.533 7.472
3432 -4.849 2.565 8.129
3563 -4.172 2.429 8.536
3718 -4.018 3.106 8.389
3847 -4.143 3.503 8.169
3987 -3.757 3.654 8.289
4137 -3.669 3.723 8.297
4327 -3.750 3.951 8.155
4446 -3.877 4.132 8.004
4576 -3.920 4.208 7.943
4676 -3.895 4.315 7.898
4836 -3.911 4.402 7.842
4937 -3.928 4.446 7.809
5063 -3.944 4.482 7.780
5234 -3.908 4.516 7.778
5333 -3.901 4.519 7.781
5458 -3.947 4.522 7.755
5547 -4.015 4.538 7.711
5698 -4.041 4.556 7.687
5852 -4.050 4.574 7.671
5947 -4.045 4.595 7.661
6067 -4.086 4.605 7.634
6157 -4.118 4.611 7.613
6237 -4.156 4.620 7.586
6388 -4.156 4.634 7.578
6627 -4.187 4.666 7.541
6802 -4.504 4.645 7.369
6924 -5.151 4.544 6.999
7027 -5.942 4.549 6.338
7132 -6.725 4.510 5.531
7257 -7.269 4.327 4.961
7477 -8.403 2.728 4.256
7682 -8.637 2.301 4.034
7778 -7.687 1.443 5.916
7864 -8.311 1.251 5.054
7973 -8.566 2.412 4.120
8073 -8.762 2.397 3.696
8174 -8.872 2.352 3.454
8284 -8.862 2.270 3.534
8399 -8.904 2.215 3.461
8509 -8.937 2.170 3.406
8669 -8.905 2.171 3.486
8788 -8.948 2.147 3.391
8884 -8.951 2.136 3.389
8964 -8.940 2.140 3.415
9044 -8.971 2.110 3.352
9154 -9.016 2.013 3.290
9254 -8.952 1.903 3.523
9334 -8.897 1.926 3.647
9429 -8.950 1.912 3.522
