START_TIME=1432224291852
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
457 -0.253 -2.658 -3.442
556 1.654 7.229 -9.559
645 2.218 6.874 -8.326
825 1.541 5.328 -7.530
907 1.609 3.669 -6.502
1093 1.256 2.957 -5.510
1185 1.405 5.135 -3.639
1377 -0.035 0.046 -2.253
1464 1.128 -1.113 0.757
1584 1.040 -2.194 0.864
1680 0.935 -2.638 0.207
1943 -0.535 -4.091 5.128
2062 -5.770 6.542 7.123
2217 -10.865 -10.556 -12.368
2334 -6.003 2.698 20.275
2439 8.281 4.314 -0.989
2552 6.493 -1.557 4.159
2704 -4.949 -1.360 0.382
3050 -8.594 -2.215 -1.996
3154 -0.656 0.076 0.406
3250 -0.143 -1.813 5.445
3382 -0.137 0.097 2.813
3503 1.943 -2.156 1.540
3591 1.155 0.022 1.982
3739 -1.433 -1.022 0.151
3870 -0.366 -1.915 2.726
4011 -0.003 -1.356 1.585
4158 0.884 -1.280 1.206
4347 0.526 -0.651 1.102
4468 0.074 -0.842 0.597
4600 -0.123 -0.920 0.228
4693 -0.054 -0.642 0.117
4858 -0.206 -0.612 0.120
4959 -0.036 -0.659 0.351
5083 0.119 -0.564 0.293
5254 0.104 -0.212 0.169
5348 -0.019 -0.337 0.194
5478 0.052 -0.028 0.036
5564 0.105 -0.133 0.139
5717 0.049 -0.351 0.254
5878 0.124 -0.154 0.173
5962 0.103 -0.165 0.147
6088 0.102 -0.090 0.100
6172 0.039 -0.171 0.120
6292 0.225 0.031 0.093
6413 0.262 -0.213 0.271
6650 -0.059 0.019 -0.054
6827 -0.043 -0.137 0.057
6949 0.013 0.048 -0.033
7045 0.190 0.488 -0.239
7156 0.043 -1.452 -0.150
7282 0.551 1.476 -0.826
7636 -4.787 1.530 0.406
7724 -6.691 -2.977 -12.007
7877 3.224 -2.860 -1.909
7978 0.565 0.680 0.632
8077 0.091 -1.080 0.402
8181 0.627 0.542 0.707
8290 0.256 -0.761 0.482
8406 0.619 0.048 1.050
8516 0.186 0.374 1.370
8680 0.768 0.573 1.508
8801 -0.013 -0.161 0.127
8892 0.074 0.317 -0.019
8972 0.083 0.134 0.200
9053 0.062 -0.153 0.322
9161 0.178 -0.007 0.550
9262 0.154 0.484 0.157
9342 -0.052 -0.062 -0.057
9438 0.155 0.052 0.433
