START_TIME=1432052579873
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
475 8.376 0.398 10.060
582 6.613 7.686 0.006
667 6.872 6.163 -1.319
773 7.335 8.715 0.974
887 7.329 5.134 -0.570
984 7.199 4.410 -2.496
1074 -2.437 -2.165 6.430
1237 -4.196 -0.033 3.573
1613 -3.471 -4.186 -0.947
1727 0.910 -15.432 1.741
1815 -3.641 0.169 -3.551
2077 -13.591 9.933 7.489
2197 -2.595 -10.502 4.061
2292 2.533 -11.074 3.314
2372 0.110 -4.893 0.341
2472 -4.583 -2.279 2.373
2672 -4.644 -1.891 1.212
2797 -0.964 3.943 2.204
2962 2.545 0.567 5.067
3272 5.733 -1.139 0.973
3393 6.792 -1.185 1.121
3492 5.289 -1.376 0.644
3588 4.776 -0.318 0.423
3701 3.375 -1.270 1.892
3796 -4.098 2.673 -4.309
3926 -5.154 1.855 -3.438
4022 -4.717 1.648 -2.907
4106 -3.948 1.358 -2.320
4252 -2.872 0.909 -1.706
4379 -2.301 0.174 -1.404
4468 -1.740 0.210 -1.057
5318 -1.050 -0.344 -0.493
5587 -0.307 -0.277 0.034
5810 -0.210 -0.212 0.063
5918 -0.129 -0.124 0.081
6001 -0.063 -0.090 0.131
6107 0.010 -0.023 0.208
6202 0.004 -0.068 0.226
6340 0.009 -0.072 0.232
6423 0.041 -0.042 0.274
6533 0.046 0.002 0.217
6648 0.011 -0.080 0.218
6775 -0.003 -0.062 0.138
6866 -0.003 -0.061 0.126
6992 0.007 -0.057 0.151
7112 0.033 0.009 0.138
7282 0.030 0.011 0.122
7372 0.011 -0.035 0.122
7464 0.019 0.026 0.059
7599 -0.008 -0.069 0.102
7693 -0.082 -0.215 0.075
7782 0.080 0.158 0.069
7893 0.071 0.180 0.006
7974 -0.054 -0.151 0.055
8069 -0.017 -0.089 0.087
8208 -0.049 -0.098 -0.004
8328 -0.130 -0.214 -0.111
8532 -0.122 -0.208 -0.093
8668 0.083 0.147 0.092
8758 -0.021 -0.087 0.059
8910 -0.010 -0.043 0.030
8995 -0.093 -0.188 -0.041
9107 0.002 0.013 -0.007
9198 -0.015 -0.006 -0.038
9352 -0.026 -0.056 -0.003
9554 -0.019 -0.032 -0.014
