START_TIME=1432052579873
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
468 -9.467 1.837 1.782
596 -9.730 0.906 0.817
679 -9.667 1.105 1.226
782 -9.692 1.060 1.054
900 -9.763 0.884 0.283
992 -9.732 0.826 0.880
1081 -3.454 7.343 -5.506
1246 -4.677 5.359 -6.751
1625 -4.670 8.542 -1.182
1741 -5.234 8.039 2.037
1821 -7.616 6.049 1.255
2086 -0.788 3.720 -9.039
2205 -3.925 5.776 -6.885
2301 -4.011 6.405 -6.249
2381 -3.446 8.151 4.225
2481 2.163 2.715 9.172
2684 6.776 0.364 7.080
2856 9.676 -0.973 1.267
2974 6.701 -4.363 -5.678
3295 -1.267 -5.199 -8.218
3415 -2.623 -4.256 -8.437
3537 -2.880 -3.832 -8.555
3658 -2.026 -3.453 -8.952
3756 4.595 -8.157 -2.919
3841 6.470 -6.730 -3.002
3932 7.253 -6.040 -2.661
4029 7.589 -5.704 -2.459
4113 7.785 -5.492 -2.326
4260 8.133 -5.105 -1.990
4387 8.206 -5.007 -1.939
4475 8.233 -4.958 -1.951
5330 8.261 -4.885 -2.016
5598 8.285 -4.823 -2.068
5819 8.296 -4.794 -2.091
5924 8.307 -4.764 -2.113
6009 8.327 -4.712 -2.153
6129 8.348 -4.658 -2.186
6273 8.381 -4.575 -2.237
6402 8.396 -4.536 -2.260
6487 8.410 -4.500 -2.279
6608 8.430 -4.451 -2.302
6703 8.441 -4.423 -2.315
6785 8.446 -4.409 -2.321
6872 8.466 -4.358 -2.347
7005 8.471 -4.345 -2.352
7124 8.480 -4.322 -2.363
7294 8.485 -4.309 -2.368
7380 8.495 -4.286 -2.376
7474 8.504 -4.262 -2.385
7614 8.512 -4.242 -2.391
7702 8.517 -4.230 -2.397
7894 8.511 -4.214 -2.443
7978 8.530 -4.171 -2.453
8071 8.545 -4.137 -2.457
8268 8.586 -4.054 -2.453
8671 8.597 -4.037 -2.442
8762 8.606 -3.997 -2.475
8913 8.608 -3.993 -2.476
9001 8.615 -3.977 -2.479
9125 8.610 -3.970 -2.507
9205 8.613 -3.963 -2.508
9359 8.615 -3.957 -2.509
9564 8.617 -3.951 -2.511
