START_TIME=1432225464787
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=5
COLS=+TIME Gx Gy Gz
====================
334 7.285 1.472 -6.398
423 7.495 1.696 -6.092
548 7.635 1.842 -5.873
652 7.792 1.951 -5.626
742 7.953 1.990 -5.382
852 8.012 1.445 -5.467
1033 4.179 3.659 -8.082
1159 3.791 2.197 -8.774
1283 -0.695 6.620 -7.202
1368 -5.243 5.758 -5.961
1478 -8.748 2.386 -3.736
1638 -8.314 -4.684 -2.261
1725 -7.815 -5.578 -1.999
1821 -8.362 -4.992 -1.151
1914 -7.916 -4.953 -2.995
1998 -7.784 -5.039 -3.191
2102 -7.779 -5.156 -3.012
2188 -8.123 -4.894 -2.499
2324 -8.584 -4.589 -1.195
2413 -8.692 -4.289 1.491
2512 -7.503 -4.361 4.567
2668 -7.377 -4.283 4.838
2748 -7.174 -4.272 5.144
2871 -7.132 -4.367 5.121
2977 -7.087 -4.532 5.041
3065 -6.156 -3.325 6.871
3156 -5.904 -3.318 7.092
3278 -4.979 -3.329 7.765
3373 -4.854 -3.334 7.842
3464 -4.075 -2.485 8.567
3597 -3.029 -1.335 9.231
3728 -2.233 -0.868 9.510
3815 -1.847 -0.700 9.606
3917 -1.295 -0.451 9.710
4041 -1.125 -0.318 9.737
4136 -1.096 -0.288 9.741
4216 -1.001 -0.217 9.753
4332 -0.892 -0.190 9.764
4432 -0.834 -0.167 9.770
4544 -0.771 -0.137 9.775
4653 -0.735 -0.123 9.778
4748 -0.703 -0.112 9.781
4849 -0.674 -0.101 9.783
4938 -0.658 -0.097 9.784
5026 -0.646 -0.092 9.785
5132 -0.615 -0.081 9.787
5293 -0.605 -0.078 9.788
5403 -0.596 -0.075 9.788
5603 -0.586 -0.073 9.789
5923 -0.568 -0.068 9.790
6025 -0.560 -0.065 9.790
6213 -0.536 -0.059 9.792
6378 -0.522 -0.055 9.793
6464 -0.515 -0.053 9.793
6738 -0.502 -0.049 9.794
7014 -0.490 -0.046 9.794
7108 -0.484 -0.044 9.795
7268 -0.478 -0.043 9.795
7413 -0.473 -0.043 9.795
7539 -0.467 -0.041 9.795
7658 -0.447 -0.039 9.796
7773 -0.437 -0.039 9.797
7865 -0.433 -0.038 9.797
7962 -0.426 -0.036 9.797
8069 -0.419 -0.035 9.798
8155 -0.416 -0.035 9.798
16247 -0.413 -0.034 9.798
16653 -4.179 -0.572 8.853
16760 -2.399 3.550 8.821
16855 -1.165 6.809 6.961
16966 0.167 8.529 4.838
17059 0.868 9.192 3.306
17192 1.382 9.449 2.232
