START_TIME=1432053022554
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
571 1.405 0.614 16.517
664 4.727 7.834 -6.716
809 3.044 7.339 -11.309
926 0.076 5.094 -9.622
1038 -0.990 -3.878 -8.781
1173 0.652 -13.590 -6.903
1293 -1.517 -11.904 -0.070
1384 5.273 1.099 -1.596
1469 5.934 8.404 5.343
1571 -9.963 4.547 -0.485
1653 -10.922 -3.283 -3.575
1760 5.690 2.971 -6.188
1848 -5.100 2.886 2.621
1953 -5.224 4.094 -3.410
2078 -13.222 10.176 3.598
2217 -12.176 -13.716 14.069
2313 -8.152 -2.139 2.449
2421 -8.017 -0.654 1.686
2614 -2.018 -3.978 -2.372
2744 0.064 -1.735 -1.920
2860 0.059 0.502 -1.906
2972 5.802 0.985 1.587
3086 5.881 -0.701 6.374
3198 4.977 -1.210 6.050
3295 4.208 -1.639 4.965
3396 3.010 -1.395 3.988
3494 2.304 -1.481 3.103
3612 1.019 -1.305 1.010
3711 0.809 -1.105 0.236
3808 0.685 -0.978 0.007
3943 0.649 -0.494 -0.584
4064 0.141 -0.235 -0.228
4148 0.135 -0.972 0.264
4238 1.225 2.707 -1.580
4324 -1.476 0.467 1.278
4431 -0.232 -0.108 -0.320
4513 -0.427 -0.102 -0.025
4598 -0.242 0.196 -0.394
4683 -0.291 0.115 -0.233
4895 -0.299 0.174 -0.184
4987 -0.358 0.011 0.003
5167 -0.354 0.122 -0.014
5763 0.049 0.188 -0.177
5994 -0.117 0.336 0.045
6086 0.110 0.023 -0.194
6172 -0.050 0.125 0.020
6321 0.022 0.217 -0.131
6449 -0.058 0.048 0.068
6537 0.086 -0.003 -0.139
6658 0.135 0.068 -0.245
6776 -0.009 0.009 0.007
7063 0.146 -0.168 -0.172
7244 -0.034 0.120 0.011
7334 -0.031 0.118 0.016
7424 -0.093 0.139 0.129
7504 -0.039 0.142 0.033
7594 -0.036 0.134 0.046
7712 0.006 0.211 -0.035
7803 0.039 0.054 -0.063
7884 0.077 -0.010 -0.135
8005 0.007 0.026 0.021
8213 -0.035 -0.005 0.133
8301 0.034 0.125 -0.063
8448 0.015 0.067 -0.022
8558 0.049 -0.005 -0.110
8745 0.050 -0.069 -0.113
8831 0.068 -0.020 -0.166
8953 0.042 0.007 -0.106
9041 0.048 -0.010 -0.122
9250 -0.002 0.096 -0.008
9403 -0.051 0.132 0.119
9508 0.010 0.116 -0.043
