START_TIME=1432225804983
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
303 7.787 -5.627 -1.965
399 7.858 -5.399 -2.296
500 7.909 -5.382 -2.157
609 7.849 -5.588 -1.827
730 7.858 -5.579 -1.815
830 7.897 -5.571 -1.664
930 6.031 -5.541 -5.394
1044 9.125 0.027 -3.592
1135 8.866 0.252 -4.184
1257 8.935 1.157 -3.873
1354 8.662 -0.862 -4.515
1477 6.983 -1.503 -6.719
1565 5.095 0.251 -8.375
1655 3.246 7.675 -5.169
1750 3.013 8.928 -2.716
1842 3.448 8.337 -3.845
1938 1.720 9.526 1.574
2049 2.786 8.107 4.762
2138 3.042 5.704 7.374
2228 3.084 4.408 8.199
2308 2.354 1.558 9.392
2402 1.977 0.804 9.572
2491 1.518 0.602 9.670
2590 1.351 0.538 9.698
2681 1.229 0.442 9.719
2780 1.160 0.397 9.730
2870 1.071 0.352 9.742
2960 0.984 0.311 9.752
3040 0.926 0.285 9.759
3130 0.905 0.278 9.761
3236 0.880 0.267 9.763
3326 0.877 0.251 9.764
3406 0.866 0.242 9.765
3528 0.827 0.232 9.769
3629 0.773 0.219 9.774
3727 0.751 0.204 9.776
3828 0.741 0.197 9.777
3909 0.733 0.193 9.777
4006 0.718 0.184 9.779
4104 0.714 0.182 9.779
4214 0.705 0.175 9.780
4305 0.699 0.170 9.780
4455 0.691 0.164 9.781
4543 0.675 0.152 9.782
4623 0.667 0.146 9.783
4708 0.658 0.140 9.784
4803 0.654 0.137 9.784
4923 0.649 0.133 9.784
5046 0.644 0.129 9.785
5144 0.639 0.125 9.785
5254 0.634 0.121 9.785
5377 0.630 0.119 9.786
5471 0.627 0.116 9.786
5567 0.622 0.112 9.786
5658 0.618 0.109 9.787
5758 0.614 0.106 9.787
5888 0.611 0.103 9.787
5978 0.606 0.100 9.787
6130 0.602 0.096 9.788
6220 0.599 0.093 9.788
6300 0.595 0.090 9.788
6381 0.591 0.087 9.788
6481 0.588 0.084 9.789
6590 0.585 0.082 9.789
6711 0.581 0.079 9.789
6820 0.579 0.077 9.789
6946 0.575 0.074 9.789
7030 0.573 0.072 9.790
7110 0.570 0.070 9.790
7195 0.568 0.069 9.790
7321 0.565 0.066 9.790
7401 0.563 0.064 9.790
7490 0.561 0.063 9.790
7570 0.559 0.061 9.791
7650 0.558 0.060 9.791
7769 0.557 0.059 9.791
7907 0.556 0.058 9.791
7993 0.552 0.055 9.791
8084 0.551 0.054 9.791
8164 0.548 0.052 9.791
8283 0.548 0.051 9.791
8466 0.546 0.049 9.791
8601 0.545 0.047 9.791
8708 0.543 0.046 9.791
8816 0.541 0.044 9.792
8996 0.540 0.043 9.792
9091 0.539 0.041 9.792
9173 0.537 0.041 9.792
9254 0.535 0.040 9.792
9369 0.533 0.039 9.792
9474 0.532 0.038 9.792
