START_TIME=1431762524985
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
429 -0.198 -0.172 -0.143
546 -0.358 0.320 -0.114
638 -1.005 -0.151 -1.496
726 1.056 0.051 0.150
808 2.738 -0.923 -0.519
894 0.196 -2.817 0.148
1035 -0.013 2.803 -0.401
1156 -0.920 -1.498 -0.677
1237 0.567 0.139 -0.103
1357 0.721 0.933 -0.423
1437 0.543 -3.983 -2.372
1518 -0.477 -5.761 -2.413
1628 -1.720 -5.605 -2.078
1728 -2.568 -5.255 -1.480
1828 -3.033 -5.029 -0.688
1919 -2.970 -5.388 0.066
2053 4.686 -5.965 2.898
2144 -13.579 -1.118 -0.708
2249 -10.563 -1.366 1.869
2365 -11.154 -2.870 7.322
2469 -7.400 -15.065 -1.726
2549 -0.025 -4.291 -1.593
2632 5.047 0.232 -0.143
2717 1.465 -3.633 -0.407
2839 0.358 0.773 0.044
2930 0.083 -0.553 0.005
3024 -0.007 -0.100 0.008
3139 -0.007 0.010 -0.000
3236 0.014 0.031 0.014
3399 -0.018 0.006 0.002
3539 0.019 -0.035 0.006
3629 0.014 -0.018 -0.000
3758 0.011 -0.004 0.001
3848 0.026 -0.021 -0.001
3935 0.020 -0.019 -0.005
4034 0.014 -0.040 -0.012
4144 0.050 0.009 -0.003
4234 -0.023 -0.008 -0.012
4365 0.002 0.013 0.001
4448 0.027 0.008 0.003
4542 0.019 0.017 -0.009
4639 0.016 0.017 -0.001
4729 -0.003 -0.004 0.005
4829 0.005 0.018 0.002
4915 0.014 0.008 -0.012
5000 -0.007 -0.034 -0.004
5104 0.024 -0.010 0.006
5204 -0.033 -0.041 0.008
5289 -0.025 -0.035 0.005
5378 -0.011 -0.001 0.002
5473 0.037 -0.005 0.008
5579 -0.007 -0.052 0.003
5668 -0.011 -0.065 -0.001
5754 0.032 0.031 -0.005
5834 -0.016 0.003 -0.003
5924 0.010 0.006 0.007
6042 -0.001 0.015 0.002
6140 0.014 0.013 -0.000
6231 0.025 -0.013 0.010
6322 0.058 -0.013 0.005
6413 0.010 0.006 0.003
6510 0.004 -0.004 -0.005
6627 -0.003 -0.003 -0.000
6743 -0.006 0.001 0.007
6832 0.008 0.007 -0.005
6922 0.011 -0.004 0.005
7017 0.019 -0.001 0.001
7102 0.021 0.001 0.001
7228 0.028 0.018 -0.000
7318 -0.019 -0.005 -0.008
7415 -0.034 -0.004 0.002
7506 -0.027 0.001 0.002
7588 0.008 -0.002 0.006
7683 -0.027 0.026 0.010
7785 0.000 0.008 -0.004
7873 -0.014 0.006 -0.012
7965 0.003 -0.004 -0.012
8065 0.006 -0.005 -0.000
8158 -0.002 -0.023 -0.000
8273 -0.005 0.004 -0.000
8384 0.016 0.009 0.010
8484 0.004 0.003 -0.000
8599 -0.002 0.018 -0.003
8729 0.019 0.018 -0.000
8823 -0.003 0.010 -0.004
8904 0.002 -0.005 -0.008
9009 0.004 -0.001 -0.003
9093 -0.018 0.006 0.003
9183 0.000 -0.014 -0.001
9287 0.003 0.003 0.002
9400 0.026 -0.009 0.001
