START_TIME=1431762524985
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
410 -4.553 5.094 -7.035
493 0.450 0.579 -9.779
581 0.610 1.201 -9.714
664 -0.278 2.204 -9.552
753 0.959 1.909 -9.571
842 0.352 0.483 -9.788
932 -1.415 0.679 -9.680
1036 1.991 3.506 -8.939
1158 0.852 3.850 -8.979
1240 0.345 4.126 -8.890
1395 0.935 3.037 -9.277
1493 -1.919 3.112 -9.100
1631 -8.197 2.408 -4.815
1731 -9.719 1.201 0.510
1865 -8.240 -0.709 5.270
1989 -1.720 -4.318 8.635
2085 1.268 0.285 9.720
2169 1.399 -8.783 4.132
2255 0.917 -9.561 -1.978
2372 -1.756 -8.320 -4.885
2475 -2.334 -8.781 -3.690
2578 -2.196 -8.587 -4.196
2673 -3.118 -8.795 -3.016
2778 -2.024 -9.584 0.463
2870 -2.350 -7.954 5.233
2999 -2.143 -6.477 7.044
3099 -1.867 -5.464 7.927
3214 -1.719 -4.875 8.334
3311 -1.611 -4.407 8.611
3405 -1.567 -4.253 8.697
3545 -1.424 -3.743 8.952
3635 -1.303 -3.359 9.121
3762 -1.238 -3.128 9.211
3892 -1.206 -2.992 9.261
3979 -1.138 -2.715 9.355
4069 -1.086 -2.535 9.411
4179 -1.054 -2.418 9.445
4279 -1.018 -2.283 9.483
4368 -1.011 -2.252 9.491
4450 -0.995 -2.197 9.505
4547 -0.976 -2.118 9.525
4643 -0.954 -2.027 9.547
4735 -0.942 -1.965 9.562
4835 -0.925 -1.891 9.578
4922 -0.914 -1.838 9.589
5006 -0.901 -1.774 9.603
5109 -0.892 -1.732 9.611
5209 -0.849 -1.693 9.622
5294 -0.843 -1.657 9.629
5385 -0.838 -1.625 9.635
5479 -0.827 -1.579 9.643
5585 -0.795 -1.558 9.649
5672 -0.773 -1.515 9.658
5758 -0.784 -1.490 9.661
5838 -0.781 -1.474 9.664
5928 -0.774 -1.444 9.669
6044 -0.769 -1.423 9.672
6143 -0.768 -1.403 9.675
6234 -0.766 -1.379 9.679
6325 -0.762 -1.349 9.683
6416 -0.757 -1.321 9.688
6513 -0.756 -1.311 9.689
6632 -0.754 -1.295 9.691
6746 -0.752 -1.280 9.694
6835 -0.751 -1.271 9.695
6925 -0.750 -1.257 9.697
7022 -0.748 -1.243 9.699
7133 -0.746 -1.234 9.700
7231 -0.744 -1.216 9.702
7323 -0.742 -1.208 9.704
7418 -0.740 -1.196 9.705
7508 -0.738 -1.185 9.707
7624 -0.736 -1.178 9.708
7748 -0.734 -1.165 9.710
7828 -0.733 -1.156 9.711
7939 -0.734 -1.147 9.712
8038 -0.734 -1.132 9.713
8119 -0.732 -1.121 9.715
8229 -0.731 -1.114 9.716
8309 -0.731 -1.106 9.717
8389 -0.731 -1.104 9.717
8488 -0.731 -1.097 9.718
8638 -0.731 -1.088 9.719
8735 -0.731 -1.079 9.720
8827 -0.731 -1.071 9.721
8908 -0.732 -1.064 9.721
9013 -0.732 -1.061 9.722
9140 -0.732 -1.057 9.722
9249 -0.733 -1.044 9.723
9344 -0.733 -1.039 9.724
