START_TIME=1431762524985
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
423 -0.851 -0.020 -0.036
539 1.434 0.760 12.933
633 0.175 -1.783 7.157
723 -3.296 -2.230 7.530
803 -1.664 -0.732 5.664
892 3.107 2.891 1.193
1032 -2.463 -1.982 0.250
1153 -0.322 -1.756 2.630
1233 0.983 -3.012 7.398
1353 -0.399 -1.884 6.252
1433 -2.543 -1.456 -3.548
1514 3.449 0.487 -12.005
1624 7.978 1.467 -14.306
1724 7.973 2.332 -17.026
1823 5.765 3.836 -19.026
1914 1.303 4.456 -14.928
2048 -4.885 4.813 -12.421
2139 -6.841 -4.653 -4.578
2244 -3.509 1.971 6.263
2328 -0.552 -0.366 7.942
2428 -4.760 6.235 8.280
2529 -6.302 4.735 18.872
2628 0.777 7.960 11.636
2713 2.519 4.581 1.632
2798 -0.222 2.793 -2.490
2903 -0.206 0.944 -5.691
2994 -0.083 -0.462 -6.780
3094 0.608 -1.881 -6.056
3209 -0.248 -2.295 -4.640
3298 -0.437 -2.197 -2.747
3394 -0.299 -2.078 -2.451
3533 -0.289 -1.548 -1.128
3623 -0.205 -1.316 -0.702
3753 -0.290 -1.024 -0.517
3843 -0.289 -0.849 -0.424
3927 -0.172 -0.726 -0.317
4029 -0.045 -0.585 -0.218
4139 -0.060 -0.384 -0.155
4229 -0.034 -0.404 -0.129
4329 -0.085 -0.340 -0.110
4410 -0.027 -0.382 -0.103
4518 -0.087 -0.234 -0.084
4599 -0.088 -0.346 -0.079
4689 -0.130 -0.244 -0.069
4770 -0.114 -0.242 -0.059
4889 0.001 -0.128 -0.037
4969 -0.030 -0.146 -0.036
5054 -0.006 -0.157 -0.032
5134 0.045 -0.169 -0.028
5251 -0.111 -0.195 -0.039
5349 -0.072 -0.163 -0.031
5429 0.040 -0.161 -0.021
5574 -0.006 -0.062 -0.015
5659 0.002 -0.104 -0.018
5749 0.015 -0.079 -0.014
5829 0.004 -0.051 -0.012
5920 0.012 -0.045 -0.010
6038 -0.040 -0.195 -0.023
6138 -0.095 -0.084 -0.018
6228 -0.088 -0.079 -0.017
6318 0.009 -0.018 -0.006
6407 0.028 -0.072 -0.008
6504 -0.073 -0.081 -0.016
6623 -0.040 -0.053 -0.011
6738 0.002 -0.058 -0.008
6828 -0.085 -0.062 -0.014
6918 -0.014 -0.056 -0.008
7013 0.028 -0.035 -0.003
7098 0.030 -0.008 -0.001
7223 -0.043 -0.046 -0.009
7313 0.060 -0.018 0.000
7409 -0.003 -0.080 -0.008
7503 0.026 -0.025 -0.002
7583 0.030 -0.036 -0.003
7679 -0.045 -0.144 -0.015
7780 -0.053 -0.124 -0.014
7868 -0.121 -0.016 -0.012
7960 -0.075 -0.021 -0.008
8060 0.061 -0.051 -0.001
8154 -0.026 -0.000 -0.003
8268 -0.024 -0.033 -0.005
8379 -0.014 -0.073 -0.007
8478 -0.036 -0.059 -0.008
8593 -0.058 0.016 -0.004
8724 -0.027 0.027 -0.001
8819 -0.050 -0.065 -0.010
8899 -0.013 0.016 -0.000
9003 0.007 -0.004 -0.000
9088 -0.015 -0.101 -0.010
9175 -0.003 0.004 -0.000
9279 -0.007 -0.022 -0.003
9395 0.086 -0.000 0.006
