START_TIME=1432307173005
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=7
COLS=+TIME rX rY rZ
====================
54 -0.141 -0.021 -0.001
134 -0.194 -0.179 0.236
218 -0.060 -0.120 0.114
302 -0.020 0.033 0.036
389 -0.003 0.059 -0.087
471 -0.056 -0.197 0.016
552 -0.122 -0.054 -0.080
634 -0.678 0.360 -0.027
715 -0.984 0.375 0.072
805 -0.720 0.105 0.136
904 -0.168 -0.174 0.099
994 -0.043 0.151 -0.108
1088 -0.432 0.196 -0.109
1183 -1.219 0.034 -0.495
1267 -1.009 -0.007 -1.237
1349 3.245 18.946 -29.453
1429 -4.016 6.076 -0.770
1511 -7.411 6.148 11.772
1591 -4.407 -19.026 12.954
1672 -3.568 -5.999 7.709
1754 0.606 0.402 3.987
1834 -0.087 0.517 1.886
1917 -0.223 2.659 0.653
2006 -0.591 -1.034 2.699
2087 0.021 -0.365 1.778
2171 -0.082 -0.382 1.269
2259 -0.647 -0.095 1.678
2340 0.683 1.238 0.489
2422 0.311 1.273 -0.049
2504 1.204 0.625 -0.636
2584 1.008 0.368 0.049
2665 1.707 0.248 -0.121
2746 1.773 0.215 -0.028
2826 1.641 0.170 -0.002
2908 1.199 0.122 -0.005
2989 0.285 0.055 0.581
3070 0.407 -0.004 0.924
3152 0.487 0.142 0.227
3233 0.822 0.109 -0.308
3314 0.591 0.011 -0.451
3394 -0.136 0.101 -0.005
3475 -0.780 0.063 0.493
3556 -0.566 0.012 0.355
3637 -0.127 0.081 0.045
3726 0.052 0.050 -0.591
3809 -0.303 0.224 -1.255
3889 -1.929 -0.069 -0.889
3970 -2.709 -0.445 0.670
4053 -2.369 -0.413 1.483
4135 -0.793 0.412 0.947
4216 0.236 1.385 -0.030
4305 1.028 0.705 -0.216
4400 0.557 1.069 -0.528
4481 0.176 -0.055 0.629
4562 0.252 -0.930 1.107
4644 0.815 -1.657 0.947
4730 0.324 -1.006 0.057
4825 0.030 -0.648 -0.110
4913 0.056 -0.029 -0.586
4995 0.099 -0.066 -0.650
5076 0.012 -0.580 0.182
5160 0.021 -0.717 0.255
5246 -0.009 -0.194 0.017
5326 0.003 -0.044 -0.038
5407 -0.006 -0.061 0.045
5489 -0.009 -0.026 0.008
5578 0.013 0.001 0.016
5666 0.028 0.016 0.001
5755 0.020 0.025 0.077
5836 -0.037 0.003 0.047
5918 -0.045 -0.043 -0.112
6018 -0.027 -0.039 -0.051
6106 -0.002 -0.013 0.102
6186 0.018 0.010 0.014
6267 0.000 0.000 0.000
6353 0.001 0.024 -0.008
6439 -0.001 0.012 0.008
6520 0.002 -0.008 0.082
6608 0.012 -0.030 0.015
6713 0.003 -0.007 -0.024
6793 -0.010 0.037 -0.022
6875 -0.008 0.005 -0.011
6958 0.003 0.008 -0.058
7055 0.036 0.021 0.019
7137 0.012 0.018 -0.155
7218 -0.024 -0.011 0.050
7299 -0.008 -0.012 -0.001
7384 -0.006 -0.008 0.018
7465 0.032 -0.002 -0.002
7552 0.027 0.042 0.018
7633 0.001 -0.005 0.029
7714 -0.018 -0.001 -0.027
7794 -0.006 -0.007 0.034
7875 -0.019 0.001 0.072
7956 -0.022 -0.005 -0.024
8037 0.000 0.000 0.000
8118 0.025 0.015 0.015
8199 0.005 -0.001 0.029
8280 0.000 0.000 0.000
8360 -0.006 -0.010 -0.023
8440 -0.006 -0.019 -0.108
8527 -0.021 -0.010 -0.064
8615 -0.006 -0.010 0.009
8705 0.000 -0.000 0.029
8786 0.001 0.001 -0.085
8869 0.024 0.040 -0.024
8958 0.017 0.013 0.072
9040 0.005 0.014 0.063
9120 -0.016 -0.004 0.038
9201 -0.016 -0.009 -0.026
9287 0.000 0.000 0.000
9373 -0.005 0.004 0.020
9454 -0.009 0.002 0.011
9541 -0.009 -0.011 0.000
