START_TIME=1431763354399
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
357 7.471 -4.090 4.861
439 0.962 1.387 9.660
555 2.158 0.503 9.553
637 1.990 0.382 9.595
778 2.487 0.425 9.477
863 2.626 -1.478 9.332
949 3.861 0.056 9.015
1038 2.993 -0.316 9.334
1128 2.610 -0.670 9.429
1218 3.729 -0.641 9.047
1298 2.297 -0.310 9.529
1392 0.132 -0.008 9.806
1503 -0.697 -0.137 9.781
1593 -2.154 -1.764 9.403
1717 -0.945 -3.432 9.138
1830 -1.043 -1.652 9.610
1969 -1.344 4.233 8.743
2111 0.150 9.192 3.415
2242 0.314 9.209 -3.356
2324 -0.180 7.161 -6.698
2425 -1.717 2.076 -9.429
2526 -4.880 -1.227 -8.417
2633 -3.362 -7.705 5.051
2719 3.995 -6.147 6.513
2833 7.834 -2.517 -5.336
2933 8.936 -3.798 -1.378
3015 8.605 -4.522 -1.294
3105 8.566 -4.380 -1.898
3189 8.668 -4.400 -1.293
3270 8.667 -4.403 -1.291
3369 8.667 -4.403 -1.287
3506 4.871 -5.274 -6.681
3649 3.481 -4.087 -8.207
3732 2.898 -3.485 -8.696
3845 2.505 -3.020 -8.987
3933 2.348 -2.832 -9.090
4019 2.093 -2.515 -9.245
4110 1.899 -2.257 -9.353
4209 1.680 -1.965 -9.460
4324 1.564 -1.818 -9.509
4405 1.467 -1.694 -9.547
4490 1.353 -1.539 -9.590
4579 1.288 -1.459 -9.612
4744 1.212 -1.351 -9.637
4832 1.101 -1.207 -9.670
4930 1.066 -1.159 -9.679
5070 1.035 -1.118 -9.688
5238 0.980 -1.037 -9.702
5355 0.931 -0.975 -9.714
5443 0.920 -0.960 -9.716
5560 0.890 -0.921 -9.723
5685 0.871 -0.895 -9.727
5786 0.845 -0.862 -9.732
5886 0.820 -0.832 -9.737
5975 0.792 -0.795 -9.742
6147 0.786 -0.787 -9.743
6250 0.761 -0.756 -9.748
6360 0.744 -0.735 -9.751
6480 0.733 -0.722 -9.753
6580 0.716 -0.704 -9.755
6682 0.710 -0.698 -9.756
6774 0.696 -0.681 -9.758
6880 0.683 -0.665 -9.760
7014 0.670 -0.650 -9.762
7124 0.655 -0.633 -9.764
7205 0.645 -0.620 -9.766
7300 0.632 -0.605 -9.768
7420 0.626 -0.598 -9.768
7505 0.608 -0.579 -9.771
7585 0.603 -0.574 -9.771
7674 0.598 -0.568 -9.772
7808 0.593 -0.563 -9.773
7894 0.587 -0.554 -9.773
8010 0.517 -0.573 -9.776
8100 0.513 -0.571 -9.777
8214 0.512 -0.560 -9.777
8305 0.585 -0.663 -9.767
8425 0.621 -0.705 -9.762
8505 0.655 -0.994 -9.734
8601 0.843 -2.386 -9.475
8730 1.454 -5.426 -8.038
8820 1.353 -7.559 -6.099
8915 0.582 -8.890 -4.098
9030 0.310 -9.754 -0.962
9114 0.397 -9.757 0.903
9244 1.058 -8.123 5.391
9325 1.329 -6.481 7.239
