START_TIME=1431762696531
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=8
COLS=+TIME Gx Gy Gz
====================
338 1.647 -0.203 9.665
435 0.783 0.271 9.772
539 0.606 0.521 9.774
682 0.712 0.272 9.777
799 0.254 -0.581 9.786
895 -0.024 -1.170 9.737
995 0.643 -1.074 9.726
1081 0.392 -0.425 9.790
1197 -0.369 0.620 9.780
1307 -0.099 1.570 9.680
1411 0.227 2.350 9.518
1496 0.461 2.956 9.339
1596 0.683 3.368 9.185
1708 0.638 3.808 9.015
1798 0.144 4.134 8.892
1936 4.763 8.050 -2.947
2077 -0.808 -8.056 5.533
2377 1.597 -6.012 -7.581
2487 4.211 -4.770 -7.462
2588 7.333 -3.907 -5.209
2702 8.580 0.684 4.700
2807 8.347 0.694 5.101
2897 8.347 0.695 5.101
2977 8.343 0.689 5.108
3067 5.879 0.254 7.845
3152 4.401 0.325 8.758
3239 3.900 0.393 8.989
3332 2.690 0.477 9.419
3442 2.340 0.488 9.511
3542 1.967 0.488 9.595
3683 1.707 0.478 9.645
3787 1.519 0.462 9.677
3897 1.332 0.441 9.706
3983 1.190 0.415 9.725
4097 1.105 0.398 9.736
4190 1.081 0.393 9.739
4273 1.012 0.377 9.747
4378 0.973 0.368 9.751
4468 0.937 0.358 9.755
4560 0.906 0.348 9.758
4680 0.877 0.339 9.761
4792 0.849 0.329 9.764
4909 0.824 0.320 9.767
5033 0.802 0.313 9.769
5244 0.780 0.305 9.771
5412 0.741 0.292 9.774
5495 0.707 0.279 9.777
5583 0.691 0.273 9.778
5690 0.671 0.264 9.780
5792 0.642 0.251 9.782
5944 0.624 0.243 9.784
6102 0.619 0.240 9.784
6234 0.609 0.236 9.785
6317 0.585 0.226 9.787
6406 0.567 0.218 9.788
6540 0.559 0.214 9.788
6650 0.544 0.206 9.789
6733 0.534 0.200 9.790
6857 0.527 0.197 9.790
6953 0.521 0.194 9.791
7049 0.515 0.191 9.791
7162 0.508 0.188 9.792
7263 0.500 0.184 9.792
7359 0.497 0.183 9.792
7491 0.490 0.180 9.793
7611 0.482 0.177 9.793
7780 0.459 0.173 9.794
7934 0.453 0.169 9.795
8053 0.450 0.167 9.795
8150 0.444 0.163 9.795
8286 0.438 0.158 9.796
8372 0.434 0.156 9.796
8455 0.429 0.153 9.796
8540 0.425 0.151 9.796
8640 0.422 0.149 9.796
8734 0.417 0.145 9.797
8835 0.412 0.143 9.797
8958 0.409 0.141 9.797
9057 0.405 0.138 9.797
9164 0.403 0.136 9.797
9263 0.401 0.134 9.798
