START_TIME=1432053138519
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
486 -8.774 0.147 4.378
627 -9.058 0.015 3.757
739 -9.004 -0.566 3.845
853 -8.771 1.117 4.242
951 -8.143 2.671 4.767
1071 -7.302 2.732 5.948
1165 -5.034 1.856 8.209
1376 -3.601 4.031 8.183
1466 -5.919 4.023 6.705
1588 -8.093 -1.395 5.360
1721 -6.261 -6.655 3.562
1842 -5.031 -7.875 2.974
1922 -4.874 -6.893 4.989
2019 -5.480 -7.147 3.880
2102 -4.658 -7.223 4.722
2193 -2.077 -8.406 4.604
2366 0.809 -9.213 3.262
2498 2.760 -9.013 2.704
2590 3.114 -8.925 2.610
2690 3.206 -8.912 2.543
2851 4.197 -8.708 1.650
3030 4.677 -8.543 1.150
3240 5.107 -8.344 0.678
3408 5.136 -8.346 0.356
3559 -3.590 -8.948 -1.794
3721 -5.595 -7.124 3.758
3853 -5.632 -6.986 3.955
4106 -5.631 -6.936 4.045
4270 -5.644 -6.912 4.066
4412 -5.663 -6.901 4.058
4507 -5.665 -6.840 4.158
4631 -5.666 -6.815 4.198
4756 -5.677 -6.796 4.214
4843 -5.688 -6.780 4.225
5038 -5.721 -6.773 4.191
5274 -5.880 -6.692 4.101
5391 -5.937 -6.671 4.052
5612 -6.057 -6.638 3.926
5754 -6.084 -6.612 3.928
5893 -6.123 -6.576 3.929
5986 -6.233 -6.476 3.921
6089 -6.261 -6.475 3.878
6216 -6.277 -6.472 3.859
6301 -6.281 -6.469 3.857
6390 -6.284 -6.466 3.856
6547 -6.285 -6.467 3.854
6634 -6.289 -6.465 3.850
6769 -6.291 -6.465 3.847
6855 -6.295 -6.464 3.841
6951 -6.297 -6.463 3.841
7033 -6.304 -6.461 3.833
7123 -6.309 -6.457 3.830
7281 -6.316 -6.454 3.825
7388 -6.320 -6.450 3.825
7579 -6.321 -6.450 3.822
7688 -6.390 -6.385 3.816
7783 -6.477 -6.294 3.823
7906 -6.554 -6.196 3.851
7990 -6.600 -6.134 3.870
8109 -6.657 -6.075 3.867
8216 -6.664 -6.073 3.856
8407 -6.680 -6.072 3.831
8513 -6.741 -6.052 3.755
8606 -6.815 -6.017 3.677
8698 -6.854 -6.003 3.627
8878 -6.969 -5.987 3.428
9001 -7.014 -5.963 3.379
9102 -7.031 -5.949 3.368
9208 -7.034 -5.949 3.361
9327 -7.036 -5.935 3.382
9419 -7.039 -5.935 3.376
9513 -7.040 -5.936 3.371
