START_TIME=1432051868368
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
550 -0.149 -0.879 -0.160
717 0.693 2.101 0.082
821 0.915 -0.554 -0.239
901 1.174 -0.976 -0.589
1047 1.271 0.468 -0.579
1286 3.777 -0.527 -2.563
1449 0.656 0.838 -1.288
1619 -0.328 -0.441 -0.614
1778 -4.029 -2.145 1.726
1890 -4.107 2.572 -0.864
1992 -1.118 1.025 -3.241
2145 -4.694 6.281 -1.355
2290 -0.405 -3.496 -0.579
2409 -0.482 -8.232 -0.877
2601 0.108 1.372 -0.275
2701 -0.044 -0.972 -0.506
2922 0.033 -0.603 0.170
3125 -0.065 -0.174 0.176
3214 -0.022 -0.873 0.028
3307 0.038 0.071 -0.167
3387 -0.046 -0.177 -0.040
3688 -0.015 -0.103 -0.016
3775 -0.045 -0.125 -0.022
3891 -0.013 -0.125 0.022
3977 0.000 0.010 0.020
4068 0.009 0.088 -0.001
4213 -0.002 0.071 -0.027
4383 0.001 -0.061 0.021
4482 0.005 -0.047 0.017
4662 -0.004 -0.077 0.017
4853 0.004 -0.019 -0.005
5034 -0.005 -0.003 -0.001
5116 0.001 -0.025 0.002
5244 -0.004 -0.025 -0.007
5495 0.003 -0.020 -0.012
5587 0.000 -0.019 -0.011
5742 -0.001 -0.017 0.001
5840 -0.006 -0.023 0.006
5970 -0.006 -0.019 -0.007
6169 0.001 -0.012 0.001
6278 0.000 -0.012 -0.004
6362 0.010 0.015 -0.004
6492 -0.015 0.015 0.000
6633 -0.004 -0.009 -0.004
6738 -0.001 -0.005 0.005
6830 0.000 0.002 0.005
6919 0.003 0.000 -0.009
7080 0.003 -0.001 -0.001
7172 0.005 -0.011 0.007
7264 0.000 -0.019 0.012
7373 0.006 -0.013 0.007
7491 -0.001 0.000 0.006
7734 0.006 0.002 -0.006
7852 0.004 0.030 -0.001
7948 -0.015 -0.011 0.000
8132 0.010 0.013 0.013
8230 0.012 0.002 -0.015
8323 0.007 0.015 -0.001
8435 -0.002 -0.029 -0.002
8518 0.009 -0.005 0.000
8630 -0.004 0.004 0.000
8741 0.004 -0.017 0.000
8831 0.001 0.003 -0.012
8919 -0.006 -0.009 -0.005
9017 0.003 0.006 0.002
9190 -0.001 0.015 0.005
9293 0.009 -0.002 -0.001
9420 -0.002 -0.005 0.002
9712 0.018 -0.006 -0.001
