START_TIME=1432051868368
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
494 -9.474 2.119 1.386
604 -9.395 2.001 1.975
715 -9.391 2.132 1.856
818 -9.392 2.229 1.731
898 -9.427 2.019 1.796
982 -9.452 1.746 1.945
1069 -9.550 1.570 1.584
1275 -9.655 -0.695 1.569
1439 -8.901 -2.481 3.285
1609 -8.744 -3.834 2.238
1767 -8.985 -3.463 1.859
1882 -8.639 -4.564 -0.846
1982 -7.236 -5.626 -3.486
2137 1.097 -5.329 -8.159
2282 -6.762 -1.014 -7.030
2371 -8.527 -1.362 -4.649
2585 -9.525 -2.331 -0.079
2691 -9.262 -2.959 1.280
2912 -9.021 -3.189 2.152
3019 -8.978 -3.019 2.540
3107 -9.011 -2.978 2.471
3212 -9.121 -3.074 1.878
3303 -5.581 2.254 7.742
3383 -2.689 -0.564 9.414
3663 -1.935 -0.757 9.584
3796 -1.744 -0.831 9.614
3883 -1.143 -0.978 9.691
3968 -0.947 -1.005 9.709
4063 -0.870 -1.036 9.713
4163 -0.876 -1.079 9.708
4287 -0.831 -1.110 9.708
4378 -0.783 -1.124 9.711
4473 -0.674 -1.159 9.714
4650 -0.560 -1.177 9.720
4788 -0.491 -1.185 9.722
4869 -0.464 -1.203 9.721
5026 -0.454 -1.208 9.721
5110 -0.431 -1.221 9.721
5233 -0.399 -1.240 9.720
5426 -0.380 -1.251 9.719
5582 -0.362 -1.261 9.718
5723 -0.353 -1.266 9.718
5838 -0.329 -1.280 9.717
5968 -0.307 -1.293 9.716
6157 -0.292 -1.300 9.716
6269 -0.274 -1.309 9.715
6355 -0.257 -1.318 9.714
6482 -0.246 -1.324 9.714
6567 -0.230 -1.332 9.713
6652 -0.221 -1.336 9.713
6734 -0.213 -1.341 9.712
6824 -0.205 -1.346 9.712
6913 -0.198 -1.352 9.711
7018 -0.188 -1.358 9.710
7164 -0.184 -1.360 9.710
7255 -0.177 -1.364 9.710
7366 -0.170 -1.367 9.709
7483 -0.161 -1.372 9.709
7714 -0.154 -1.376 9.708
7838 -0.139 -1.383 9.708
7923 -0.135 -1.385 9.707
8008 -0.129 -1.389 9.707
8126 -0.126 -1.392 9.707
8212 -0.122 -1.393 9.706
8312 -0.116 -1.398 9.706
8430 -0.113 -1.401 9.705
8515 -0.108 -1.404 9.705
8609 -0.106 -1.405 9.705
8737 -0.101 -1.409 9.704
8828 -0.098 -1.410 9.704
8914 -0.094 -1.413 9.704
9010 -0.091 -1.415 9.704
9178 -0.091 -1.416 9.703
9258 -0.089 -1.417 9.703
9349 -0.086 -1.420 9.703
9699 -0.083 -1.421 9.703
