START_TIME=1431763405288
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=8
COLS=+TIME rX rY rZ
====================
550 -0.805 -1.135 -0.589
664 -0.399 -0.657 -1.105
749 -0.292 -0.793 -1.407
865 -0.392 -1.421 -0.552
975 -0.809 -0.551 -0.234
1060 -1.088 0.093 0.050
1155 -0.555 -0.139 -0.094
1235 -0.344 -0.370 -0.255
1315 0.474 -0.165 -0.036
1396 0.288 0.362 -0.152
1486 0.049 0.258 -0.036
1575 0.178 0.052 0.122
1659 0.142 0.033 0.179
1781 -0.216 -0.198 0.004
1890 -0.096 -0.108 0.047
1996 -0.033 -0.435 0.130
2095 1.783 0.501 0.098
2201 2.393 0.841 -0.501
2315 1.250 0.730 0.168
2406 0.342 0.377 0.377
2535 -1.253 -0.030 -0.170
2615 -1.686 -0.848 0.290
2700 -4.413 -2.218 0.088
2785 -0.886 -1.432 0.317
2905 3.478 3.760 -0.468
2990 1.144 0.127 -0.237
3076 -0.063 0.727 0.053
3165 -0.057 -0.002 0.042
3275 -0.176 0.076 -0.045
3365 -0.068 -0.071 0.004
3476 -0.210 -0.143 -0.055
3605 -0.030 -0.130 0.036
3690 -0.242 -0.049 0.085
3770 -1.655 -0.355 0.295
3855 -1.610 -0.283 0.893
3945 3.728 2.623 -0.592
4090 0.833 -0.200 0.009
4170 -1.996 -0.536 0.702
4256 -3.519 -1.457 2.215
4351 2.374 -0.402 -1.136
4443 3.574 1.008 -1.466
4550 -0.794 -0.670 0.318
4630 -2.112 -1.297 1.119
4720 -0.070 -0.485 -0.553
4811 3.083 1.505 -1.684
4894 0.568 0.967 -1.790
5000 -1.650 -2.095 0.792
5092 0.335 0.586 -0.603
5181 0.241 0.473 0.096
5290 -0.126 0.081 -0.067
5401 -0.059 0.115 -0.165
5496 0.214 0.064 0.080
5626 -0.012 0.141 -0.248
5746 0.745 0.118 0.886
5866 2.439 -0.476 3.339
5956 5.308 2.980 6.230
6085 -0.707 4.733 4.059
6181 -2.583 6.401 1.180
6286 0.285 0.424 0.516
6396 0.974 -0.416 0.344
6506 1.035 -0.138 0.181
6606 -0.220 0.832 0.221
6687 -0.076 -0.152 -0.171
6821 -0.430 0.345 -0.210
6911 -0.120 0.027 -0.088
7001 0.057 -0.209 0.042
7111 -0.083 -0.159 0.064
7199 0.037 -0.124 0.034
7325 -0.061 0.026 0.016
7435 -0.094 0.006 0.088
7555 -0.084 0.098 0.061
7637 -0.010 0.015 0.023
7730 0.021 0.066 0.020
7820 -0.056 0.082 0.032
7910 0.009 0.044 0.026
8026 0.021 -0.066 0.026
8156 0.045 -0.045 -0.003
8266 0.000 -0.097 0.001
8346 -0.010 -0.079 -0.019
8461 -0.093 -0.034 -0.017
8551 -0.206 -0.029 -0.003
8640 -0.104 0.015 -0.012
8730 -0.065 0.017 0.016
8820 -0.121 0.043 0.037
8901 -0.002 -0.077 0.063
8986 -0.164 0.263 0.130
9071 0.154 0.245 0.061
9161 0.014 0.011 -0.002
9251 -0.188 0.116 -0.030
9340 -0.088 -0.055 -0.011
9425 -0.076 0.002 0.054
