START_TIME=1432226323903
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=5
COLS=+TIME Gx Gy Gz
====================
400 -2.332 -0.715 9.498
547 -2.672 -0.812 9.401
652 -2.570 -0.863 9.425
775 -2.045 -1.198 9.516
893 -3.124 -0.712 9.268
1040 -3.878 -0.426 8.997
1169 -3.401 1.282 9.108
1396 0.352 3.364 9.205
1517 -1.964 -1.247 9.527
1645 -1.367 -8.759 4.194
1896 -3.263 -7.094 5.933
2190 -5.559 -6.162 5.225
2528 -5.589 -6.602 4.620
2781 -4.282 -6.888 5.513
2968 -3.691 -6.841 5.978
3087 -3.678 -6.840 5.988
3442 -2.936 -7.003 6.206
3705 -2.975 -6.975 6.219
3880 -4.292 3.069 8.266
3999 -5.261 3.313 7.584
4343 -5.360 3.312 7.515
4534 -5.456 3.302 7.450
4796 -5.516 3.298 7.407
4911 -5.553 3.299 7.379
5104 -5.517 3.293 7.409
5220 -5.463 3.292 7.449
5327 -5.476 3.291 7.440
5532 -5.509 3.283 7.419
5711 -5.518 3.278 7.415
5828 -5.534 3.274 7.404
6041 -5.540 3.273 7.400
6142 -5.544 3.272 7.398
6222 -5.549 3.271 7.395
6340 -5.559 3.271 7.387
6498 -5.566 3.270 7.383
6583 -5.567 3.270 7.381
6733 -5.572 3.271 7.377
6841 -5.576 3.269 7.375
6937 -5.578 3.269 7.373
7026 -5.580 3.269 7.372
7121 -5.582 3.269 7.371
7255 -5.589 3.268 7.366
7360 -5.592 3.269 7.363
7476 -5.593 3.270 7.362
7569 -5.595 3.271 7.360
7696 -5.599 3.272 7.356
7873 -5.602 3.272 7.354
7997 -5.604 3.271 7.353
8113 -5.606 3.271 7.351
8225 -5.607 3.271 7.351
8373 -5.608 3.272 7.349
8482 -5.611 3.272 7.347
8654 -5.612 3.273 7.346
8752 -5.615 3.273 7.344
8855 -5.616 3.273 7.342
8987 -5.618 3.274 7.341
9109 -5.621 3.275 7.338
9199 -5.622 3.275 7.338
9299 -5.623 3.275 7.337
9400 -5.624 3.274 7.337
9541 -5.626 3.274 7.335
