START_TIME=1431762340887
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
356 -0.572 0.041 0.081
436 -0.343 1.478 -0.025
566 -0.685 0.519 0.025
667 -0.021 0.161 -0.009
773 0.539 0.280 -0.082
869 -0.347 -0.640 0.033
973 -0.508 -0.032 0.003
1261 0.234 -0.294 0.035
1442 0.227 -0.413 0.055
1560 -0.189 -0.098 7.632
1657 -5.001 -3.348 6.975
1750 5.032 -3.275 -8.461
1864 5.975 -3.988 -4.828
2060 5.966 -4.096 -2.629
2140 3.294 -2.878 4.546
2321 -2.377 0.980 9.845
2425 -5.992 -8.732 -1.179
2513 -4.724 -6.277 -5.721
2635 0.996 -0.068 -8.225
2757 -2.357 4.692 -5.557
2868 -4.250 2.973 -2.884
2961 -1.792 3.582 -1.804
3108 -0.991 3.375 3.838
3206 -0.767 1.270 4.404
3304 2.896 2.961 0.548
3390 3.140 3.031 -0.177
3484 2.967 2.579 -0.064
3589 2.633 2.087 0.073
3700 2.212 1.748 -0.444
3881 1.495 1.246 -0.596
3977 0.571 0.505 -0.159
4090 0.268 0.225 -0.023
4202 0.140 0.129 -0.008
4284 0.138 0.126 -0.005
4375 0.053 0.091 -0.002
4465 0.077 0.071 -0.001
4621 0.030 0.079 -0.000
4718 0.082 0.032 -0.001
4812 0.057 0.001 -0.001
4902 -0.210 -0.216 -0.008
5050 0.004 0.017 0.001
5195 0.020 0.010 0.001
5288 0.046 0.005 0.000
5371 0.027 0.026 0.001
5500 0.113 -0.011 -0.003
5614 0.011 0.038 0.001
5713 0.043 -0.007 -0.001
5901 0.023 -0.017 -0.001
6019 0.036 -0.009 -0.001
6158 -0.032 -0.040 0.000
6302 0.005 -0.007 -0.000
6422 0.005 0.002 -0.000
6504 -0.014 0.020 0.001
6622 0.011 0.002 -0.000
6713 0.030 0.003 -0.001
6812 0.011 0.029 0.000
6895 -0.058 0.008 0.002
6981 -0.024 0.031 0.001
7107 0.009 -0.029 -0.001
7213 -0.035 0.006 0.001
7294 0.004 0.026 0.000
7377 0.015 -0.006 -0.001
7477 0.001 -0.022 -0.001
7567 0.012 0.003 -0.000
7658 -0.037 0.036 0.002
7798 -0.025 0.006 0.001
7926 -0.013 -0.025 -0.000
8016 -0.015 0.043 0.001
8140 0.004 0.049 0.001
8253 -0.001 -0.002 0.000
8353 0.008 0.032 0.000
8464 -0.000 0.028 0.001
8618 0.009 0.006 -0.000
8710 0.037 -0.021 -0.002
8811 0.048 0.013 -0.002
8891 -0.015 0.015 0.001
8976 0.012 -0.017 -0.001
9073 -0.033 0.014 0.002
9162 0.019 0.014 -0.000
9253 0.003 0.029 0.001
