START_TIME=1432226471688
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=7
COLS=+TIME aX aY aZ
====================
379 0.061 0.219 -0.012
480 0.057 0.178 -0.008
619 2.992 -0.589 0.033
713 1.235 -0.121 0.112
813 0.767 0.439 -0.014
918 0.261 2.596 8.190
1007 0.120 0.658 7.934
1098 2.675 -4.136 -1.937
1179 2.191 -3.057 -9.393
1268 3.390 -3.025 -6.930
1378 4.018 -2.579 -3.851
1480 3.966 -1.900 -1.601
1569 3.244 -0.707 0.977
1664 2.018 3.251 7.614
1752 1.334 6.360 3.079
1842 0.567 5.951 0.284
1932 3.244 7.537 -0.443
2053 -6.780 5.462 3.607
2133 -2.755 4.002 2.034
2268 -2.448 2.523 1.478
2362 -2.382 0.379 0.346
2442 -2.681 -0.983 -1.194
2554 -2.235 -1.686 -1.916
2663 -1.981 -1.791 -2.499
2753 -1.736 -1.756 -1.793
2864 -1.461 -1.642 -1.408
2959 -1.211 -1.433 -1.092
3079 -0.888 -1.157 -0.685
3178 -0.667 -0.899 -0.460
3268 -0.610 -0.808 -0.362
3393 -0.432 -0.615 -0.236
3489 -0.346 -0.497 -0.177
3580 -0.286 -0.436 -0.150
3673 -0.249 -0.361 -0.117
3768 -0.229 -0.346 -0.096
3858 -0.176 -0.288 -0.079
3943 -0.142 -0.245 -0.066
4025 -0.140 -0.235 -0.060
4123 -0.130 -0.214 -0.051
4240 -0.141 -0.217 -0.044
4329 -0.104 -0.184 -0.039
4429 -0.259 -0.042 -0.021
4534 -0.061 -0.160 -0.031
4626 -0.075 -0.168 -0.029
4723 -0.058 -0.152 -0.027
4840 -0.068 -0.167 -0.025
4943 -0.174 0.034 -0.006
5042 -0.089 -0.133 -0.018
5129 -0.064 -0.077 -0.015
5244 -0.094 -0.047 -0.010
5339 -0.052 -0.094 -0.014
5421 -0.038 -0.117 -0.015
5578 0.020 -0.051 -0.011
5704 0.115 -0.074 -0.019
5792 -0.014 0.071 -0.007
5889 0.043 -0.012 -0.013
5978 -0.007 0.037 -0.007
6086 0.006 0.015 -0.008
6197 -0.117 0.026 -0.001
6287 -0.075 -0.009 -0.004
6372 -0.047 -0.027 -0.006
6473 -0.005 -0.031 -0.008
6567 -0.029 0.022 -0.004
6662 -0.032 -0.088 -0.008
6747 -0.000 -0.039 -0.007
6837 -0.025 -0.032 -0.005
6923 -0.073 -0.041 -0.004
7025 -0.032 -0.039 -0.005
7138 -0.012 -0.028 -0.005
7227 -0.045 -0.036 -0.004
7307 -0.011 -0.028 -0.005
7408 -0.001 -0.023 -0.005
7498 0.010 -0.046 -0.006
7588 0.003 -0.061 -0.006
7688 -0.037 -0.021 -0.002
7773 -0.034 -0.040 -0.003
7874 -0.034 -0.039 -0.003
7963 -0.052 -0.027 -0.002
8048 0.016 -0.027 -0.004
8143 -0.009 -0.065 -0.005
8229 -0.025 -0.002 -0.001
8315 -0.050 -0.022 -0.001
8404 -0.036 -0.030 -0.002
8499 -0.023 -0.015 -0.002
8608 -0.019 -0.024 -0.002
8717 -0.029 -0.054 -0.003
8813 -0.034 -0.034 -0.002
8913 -0.009 -0.062 -0.004
9003 0.026 -0.002 -0.003
9099 -0.001 -0.009 -0.002
9204 0.002 -0.029 -0.003
9349 0.013 -0.014 -0.003
9438 -0.007 0.001 -0.001
9544 -0.020 0.010 -0.000
