START_TIME=1432225428190
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=4
COLS=+TIME Gx Gy Gz
====================
605 -8.291 -4.119 -3.235
695 -7.849 -4.809 -3.382
778 -7.928 -4.765 -3.259
892 -7.811 -4.683 -3.637
975 -7.703 -4.736 -3.795
1135 -7.578 -4.975 -3.741
1230 -7.932 -4.965 -2.932
1330 -8.601 -3.972 -2.532
1421 -9.112 -2.823 -2.274
1508 -9.093 -2.589 -2.606
1626 2.957 -8.576 3.726
1782 5.876 -7.313 -2.857
1863 6.323 -6.076 -4.390
2222 6.741 -2.524 -6.661
2400 8.536 -0.354 -4.815
2601 9.234 -0.034 -3.303
2799 7.830 -4.379 -3.960
2887 5.754 -7.939 -0.182
3042 4.367 -7.542 4.497
3152 3.768 -5.764 6.982
3302 3.766 -6.439 6.366
3431 3.492 -7.206 5.660
3513 3.643 -7.209 5.562
3627 3.870 -7.461 5.053
3711 3.711 -8.036 4.221
3822 1.617 -7.127 6.539
3910 0.786 -7.739 5.972
4010 -0.027 -8.208 5.366
4126 -0.566 -8.635 4.614
4240 -0.837 -8.917 3.995
4393 -1.761 -9.079 3.263
4601 -3.091 -9.135 1.782
4697 -3.664 -8.984 1.424
4794 -4.050 -8.752 1.781
4896 -4.011 -8.727 1.980
5033 -4.154 -8.215 3.380
5170 -4.202 -8.117 3.554
5327 -4.500 -8.053 3.327
5443 -4.582 -8.058 3.201
5635 -4.677 -8.150 2.805
5738 -4.470 -8.266 2.805
5834 -4.411 -8.299 2.800
5961 -4.378 -8.329 2.761
6120 -4.427 -8.323 2.701
6254 -4.501 -8.311 2.615
6337 -4.542 -8.305 2.564
6465 -4.573 -8.301 2.519
6585 -4.587 -8.299 2.500
6676 -4.610 -8.297 2.465
6817 -4.619 -8.298 2.446
6911 -4.628 -8.298 2.428
7007 -4.647 -8.297 2.395
7128 -4.662 -8.297 2.367
7237 -4.668 -8.297 2.353
7470 -4.682 -8.296 2.329
7558 -4.699 -8.296 2.296
7665 -4.713 -8.295 2.268
7789 -4.720 -8.296 2.252
7891 -4.726 -8.296 2.237
9845 -4.731 -8.295 2.231
9933 -4.744 -8.302 2.176
10051 -4.748 -8.305 2.160
10175 -4.748 -8.309 2.142
10287 -4.752 -8.310 2.128
10397 -4.753 -8.312 2.118
10486 -4.754 -8.312 2.116
10660 -4.754 -8.314 2.110
10764 -4.755 -8.315 2.102
10865 -4.757 -8.317 2.091
10981 -4.757 -8.317 2.089
11077 -4.758 -8.318 2.085
11228 -4.758 -8.319 2.081
11315 -4.758 -8.320 2.077
