START_TIME=1432053173631
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
441 -5.124 -6.160 -5.654
671 -5.718 -6.372 -4.782
833 -5.812 -6.713 -4.163
943 -5.918 -7.277 -2.862
1061 -5.799 -7.799 -1.309
1170 -5.888 -7.842 -0.063
1302 -5.995 -7.689 1.050
1394 -5.780 -7.625 2.148
1580 -4.467 -8.576 1.632
1676 -3.011 -9.123 1.972
1770 -2.239 -8.930 3.378
2097 -9.785 0.099 0.645
2327 -6.856 -0.444 6.998
2446 -2.390 3.223 8.948
2581 -1.948 3.326 9.018
2761 1.190 4.682 8.534
2875 2.306 5.174 8.005
3072 4.947 5.610 6.343
3222 5.123 5.683 6.134
3360 4.755 5.452 6.621
3481 4.673 1.119 8.549
3567 3.754 0.935 9.011
3817 2.287 0.475 9.524
3902 1.118 0.080 9.742
3994 1.287 0.118 9.721
4079 1.485 0.116 9.693
4356 1.489 0.093 9.692
4470 1.511 0.063 9.689
4554 1.521 0.057 9.688
4779 1.526 0.135 9.686
4925 1.859 0.244 9.626
5221 4.839 0.850 8.487
5340 5.384 0.916 8.145
5529 5.932 1.017 7.743
5661 6.221 1.071 7.505
5810 6.870 1.185 6.897
5894 7.098 1.231 6.653
5984 7.351 1.296 6.360
6219 7.847 1.453 5.700
6356 8.368 1.653 4.838
6461 8.418 1.619 4.763
6573 8.472 1.603 4.672
6760 8.505 1.603 4.612
6875 8.496 1.615 4.625
7002 8.488 1.616 4.639
7130 8.469 1.620 4.672
7226 8.463 1.621 4.682
7369 8.449 1.624 4.705
7468 8.445 1.624 4.713
7563 8.440 1.627 4.721
7767 8.439 1.629 4.723
7852 8.439 1.631 4.722
7938 8.439 1.631 4.721
8130 8.440 1.632 4.719
8210 8.441 1.634 4.718
8334 8.458 1.634 4.687
8502 8.460 1.634 4.683
8582 8.460 1.636 4.682
8761 8.461 1.636 4.680
8865 8.462 1.636 4.678
8953 8.462 1.636 4.679
9082 8.463 1.636 4.677
9261 8.463 1.635 4.677
9402 8.463 1.634 4.677
