START_TIME=1432053173631
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
457 3.461 7.912 14.377
629 4.520 13.288 3.648
814 4.441 13.021 0.112
920 4.135 12.642 -1.174
1040 -0.151 15.640 -4.537
1144 0.840 6.648 -4.424
1228 1.985 3.533 -8.233
1315 2.560 2.762 -7.417
1556 -1.484 -1.414 -0.957
1659 -1.801 7.103 -6.808
1746 -2.249 5.213 -2.836
1842 -11.409 4.704 3.468
2080 -9.171 -11.321 -7.420
2290 1.226 -5.875 -0.094
2380 5.760 -30.388 11.716
2479 -2.920 -11.933 4.068
2592 -0.655 -12.036 3.044
2735 -0.282 -11.893 4.008
2854 -0.243 -8.569 2.350
3053 -1.253 -6.516 1.473
3148 -0.132 -2.872 0.123
3285 -1.081 -0.870 -0.798
3375 -2.402 3.617 -0.225
3455 -1.914 4.338 -0.773
3549 -1.120 3.089 -0.470
3710 -0.495 3.001 -0.581
3801 -0.878 2.567 -0.396
3883 -0.266 1.767 -0.317
3979 -0.257 1.406 -0.486
4066 -0.191 1.018 -0.299
4280 -0.091 0.591 -0.199
4398 -0.038 0.166 -0.100
4528 0.007 0.027 -0.041
4763 -0.006 -0.038 -0.036
4859 0.267 -0.055 -0.097
4969 0.091 -0.094 -0.073
5194 -0.272 -0.023 -0.040
5274 -0.410 0.042 0.167
5504 -0.269 0.047 0.180
5584 -0.415 -0.008 0.300
5675 -0.280 -0.016 0.323
5793 -0.452 -0.053 0.463
5879 -0.143 0.053 0.222
5969 -0.313 0.025 0.446
6139 -0.093 0.028 0.151
6259 -0.080 0.057 0.219
6343 0.053 -0.005 0.059
6431 0.089 0.038 0.050
6541 0.189 0.151 -0.192
6684 0.136 0.120 -0.155
6810 0.112 0.140 -0.144
6974 0.060 0.109 -0.088
7054 0.055 0.058 -0.084
7149 0.035 0.037 -0.052
7240 0.030 0.062 -0.068
7325 0.092 0.003 -0.160
7415 0.053 0.006 -0.096
7495 0.041 0.043 -0.089
7580 0.071 0.005 -0.127
7689 0.048 0.002 -0.086
7819 0.068 -0.035 -0.108
7899 0.059 -0.004 -0.103
7998 0.047 -0.005 -0.082
8110 0.049 -0.003 -0.087
8199 0.038 0.015 -0.075
8314 0.053 -0.030 -0.085
8483 0.065 -0.006 -0.118
8569 0.011 0.059 -0.041
8674 -0.002 -0.050 0.022
8776 -0.007 0.003 0.011
8936 -0.028 -0.043 0.067
9065 0.017 -0.003 -0.030
9181 -0.003 -0.004 0.007
9275 -0.021 0.009 0.035
9389 0.003 -0.016 0.001
