START_TIME=1431762606992
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=8
COLS=+TIME aX aY aZ
====================
473 0.228 0.232 -0.050
594 2.408 0.736 14.707
690 1.767 0.046 8.854
811 0.336 -0.536 5.386
923 -0.335 -1.140 1.832
1016 0.015 -1.122 0.774
1166 -0.933 -2.042 -0.377
1257 0.474 -1.640 7.809
1358 -2.126 -1.566 7.154
1461 2.960 -0.012 -13.328
1573 5.133 1.527 -13.999
1670 5.329 1.485 -13.380
1753 4.731 1.183 -11.849
1844 4.187 0.841 -10.484
1946 3.143 0.278 -8.147
2109 0.903 -1.603 -1.630
2207 -17.249 -16.239 8.436
2317 -12.442 -6.660 -5.349
2441 -19.687 -5.695 -8.747
2530 -7.459 -9.798 5.089
2677 6.015 2.410 -5.499
2757 7.260 9.392 1.462
2850 7.399 13.309 1.878
2948 8.254 12.230 1.554
3040 7.292 10.274 -8.907
3155 3.092 5.818 -3.516
3382 -0.134 1.022 -2.803
3490 -4.754 -4.403 5.930
3632 -4.188 -3.341 5.042
3775 -3.151 -1.940 2.930
3935 -1.120 0.289 0.374
4036 -0.389 0.359 0.027
4137 -0.240 0.345 0.013
4244 -0.159 0.267 0.004
4341 -0.106 0.184 0.001
4425 -0.050 0.098 -0.000
4521 -0.047 0.042 -0.000
4617 -0.053 -0.015 0.001
4752 -0.001 -0.057 0.002
4844 -0.025 -0.022 0.004
4939 -0.034 -0.046 0.002
5019 -0.020 -0.074 0.001
5102 -0.018 -0.098 0.000
5183 -0.023 -0.006 0.003
5263 -0.032 -0.036 0.002
5348 0.002 -0.039 0.002
5445 -0.011 -0.051 0.001
5564 -0.036 -0.076 -0.001
5654 -0.025 -0.051 0.000
5783 -0.060 -0.025 0.000
5873 -0.013 -0.067 -0.001
5982 -0.018 -0.031 0.000
6138 -0.025 -0.050 -0.001
6309 -0.022 -0.082 -0.002
6399 0.007 -0.021 0.001
6549 -0.022 -0.004 0.001
6630 0.019 -0.004 0.002
6736 0.020 -0.031 0.001
6844 -0.004 -0.027 0.000
6925 -0.051 -0.018 -0.001
7011 -0.012 -0.017 0.000
7115 -0.059 -0.013 -0.001
7206 0.014 0.038 0.003
7315 -0.014 -0.042 -0.001
7418 0.016 -0.014 0.001
7518 0.006 -0.022 -0.000
7653 -0.024 -0.014 -0.000
7741 -0.030 -0.021 -0.001
7834 0.001 -0.010 0.000
8018 -0.017 -0.011 -0.000
8108 0.001 0.008 0.001
8190 0.029 0.003 0.001
8321 -0.011 0.010 0.001
8465 -0.011 -0.006 -0.000
8655 -0.011 -0.030 -0.001
8838 -0.024 -0.013 -0.001
9013 -0.012 -0.024 -0.001
9103 -0.021 -0.026 -0.001
9213 -0.025 -0.008 -0.001
9372 -0.009 -0.016 -0.001
9458 -0.026 -0.054 -0.002
