START_TIME=1431763463304
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=11
COLS=+TIME rX rY rZ
====================
375 -1.256 0.962 5.932
460 -0.143 2.611 1.464
560 2.040 0.826 -8.196
689 2.530 -3.141 -12.887
779 -4.054 -6.539 -12.728
874 -5.371 0.949 -12.270
974 -30.663 2.760 1.158
1079 -9.833 8.993 -2.662
1169 -4.501 11.784 -7.230
1255 -4.688 13.299 8.181
1340 8.693 4.684 8.670
1429 7.814 -14.600 0.376
1540 3.719 -4.756 0.477
1654 -0.609 -3.657 0.000
1764 -0.009 -0.957 -0.001
1860 -0.011 0.047 -0.005
1985 0.005 0.023 0.001
2090 -0.011 0.003 -0.007
2190 -0.006 -0.010 -0.013
2309 -0.013 0.003 0.006
2403 -0.022 0.017 -0.005
2505 -0.000 0.000 0.003
2596 0.003 0.017 -0.001
2704 0.003 0.000 -0.006
2794 0.011 -0.006 0.000
2884 0.001 0.017 0.000
2964 0.002 -0.004 0.012
3069 -0.008 -0.005 -0.006
3160 -0.010 0.001 0.005
3257 -0.009 0.006 -0.004
3361 -0.046 0.006 -0.001
3455 -0.036 0.009 -0.005
3555 -0.006 -0.001 0.001
3654 -0.009 -0.001 -0.008
3734 0.011 0.010 -0.001
3835 -0.013 -0.022 -0.017
3929 0.007 -0.005 0.004
4010 -0.003 0.017 0.014
4099 0.064 0.007 -0.004
4201 -0.021 -0.004 0.001
4334 0.012 -0.002 -0.001
4464 -0.004 -0.005 -0.004
4554 -0.004 -0.002 -0.010
4674 0.001 -0.002 -0.002
4774 0.006 0.001 0.003
4854 0.005 -0.010 0.006
4985 0.014 0.017 -0.004
5074 0.006 -0.004 0.004
5155 0.003 -0.004 0.001
5249 -0.004 0.005 -0.013
5357 0.012 -0.001 0.004
5455 0.016 -0.007 -0.013
5540 0.028 -0.002 -0.001
5646 -0.000 -0.002 0.010
5752 0.001 0.017 0.003
5843 -0.019 0.010 -0.002
5926 -0.003 0.006 -0.001
6014 -0.011 -0.005 0.011
6110 0.006 -0.002 -0.008
6190 0.011 0.006 -0.007
6285 0.011 -0.004 -0.002
6370 -0.022 -0.010 -0.001
6460 0.005 0.017 -0.004
6565 -0.004 0.007 0.001
6645 -0.014 0.004 0.001
6755 -0.019 -0.004 -0.001
6874 -0.008 0.001 -0.013
7006 -0.005 0.001 0.004
7089 -0.009 0.003 -0.004
7170 0.011 0.004 0.000
7269 0.003 0.005 0.000
7365 0.001 0.017 -0.006
7445 -0.010 0.000 -0.006
7534 -0.005 -0.004 -0.013
7615 -0.015 0.003 0.004
7740 -0.016 -0.007 -0.002
7869 -0.009 0.009 0.012
7995 -0.000 0.005 0.005
8120 0.012 0.000 -0.002
8205 -0.009 0.004 0.000
8290 -0.000 -0.004 -0.005
8390 -0.000 0.003 0.003
8470 0.005 0.001 -0.006
8610 -0.000 -0.008 0.003
8697 -0.005 0.005 0.003
8801 0.005 0.003 -0.002
8925 -0.019 0.005 -0.002
9034 -0.011 -0.004 0.004
9145 0.005 -0.004 0.001
9225 0.011 -0.001 -0.007
9342 0.001 -0.002 0.003
