START_TIME=1432052013566
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
468 -1.926 -6.926 9.047
576 3.930 -1.929 -0.245
663 3.755 -1.617 -1.069
746 3.220 -1.238 -0.552
884 2.254 -1.129 -0.505
971 0.584 0.007 -0.229
1061 -0.860 0.417 0.106
1152 0.845 3.691 -1.234
1261 -2.857 -0.152 -1.268
1353 -1.027 -0.480 -0.303
1495 -2.632 0.145 -0.822
1577 -3.967 -1.695 0.419
1820 -3.026 -2.409 0.026
2050 7.187 11.521 6.283
2214 5.083 -7.855 -5.614
2328 2.501 1.184 2.153
2440 5.147 -6.081 -2.304
2572 -2.455 -3.250 5.476
2862 -7.770 3.634 4.763
3086 -2.235 -1.301 -1.042
3180 -2.601 -0.956 -1.282
3317 -1.980 -0.718 -0.013
3414 -2.098 0.738 -0.501
3499 -1.516 1.039 -1.458
3592 -1.007 1.031 -1.415
3817 -0.037 0.250 -1.916
3925 -1.121 0.789 -0.113
4041 1.285 2.876 -0.942
4188 -0.278 1.905 -0.654
4339 0.574 0.218 -0.715
4458 0.053 0.854 -0.471
4542 0.475 0.606 -0.462
4697 0.052 0.775 -0.955
4779 -0.021 0.601 -0.768
4863 -0.091 0.408 -0.530
4974 -0.121 0.153 -0.346
5131 -0.189 0.010 -0.133
5225 -0.062 -0.167 -0.052
5315 -0.164 -0.216 0.206
5400 0.050 -0.232 -0.057
5542 0.159 -0.200 -0.170
5630 -0.163 -0.421 0.364
5830 -0.124 -0.431 0.330
5949 -0.054 -0.191 0.206
6058 -0.021 -0.050 0.147
6164 0.070 -0.212 -0.062
6300 0.066 -0.149 -0.066
6400 0.089 -0.218 -0.120
6546 0.088 -0.295 -0.136
6629 0.112 -0.228 -0.183
6812 0.047 -0.238 -0.079
6893 -0.011 -0.246 0.019
7087 0.049 -0.187 -0.077
7174 -0.057 -0.120 0.099
7259 -0.022 -0.062 0.041
7362 -0.030 -0.103 0.054
7447 -0.003 -0.001 0.011
7538 -0.035 -0.079 0.062
7619 0.086 -0.037 -0.136
7716 0.019 -0.056 -0.030
7802 -0.020 0.003 0.036
7907 -0.013 -0.011 0.023
8082 -0.030 0.034 0.056
8202 -0.074 0.036 0.134
8388 -0.033 0.042 0.062
8583 -0.033 0.058 0.065
8715 0.012 -0.099 -0.024
8841 -0.013 -0.063 0.022
8939 -0.009 -0.028 0.018
9035 -0.004 -0.033 0.009
9245 -0.030 -0.103 0.049
9326 0.014 0.018 -0.018
9450 -0.017 0.023 0.037
