START_TIME=1432051727388
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
540 -0.667 -0.124 -0.117
652 0.482 -0.402 -0.271
1177 -0.155 0.444 -0.066
1264 0.549 1.141 0.046
1350 1.670 -0.994 -0.627
2358 -0.679 -0.057 -0.148
2447 -0.452 -5.547 -6.690
2663 1.346 1.453 -1.592
2905 -0.379 4.801 -0.187
3110 0.776 1.039 -0.205
3225 1.965 0.181 -0.230
3311 -1.246 2.369 -5.358
3422 -0.847 0.454 0.039
3559 -0.960 -0.524 0.375
3663 0.143 -0.075 0.534
3744 0.179 -0.359 0.312
3868 -0.043 -0.288 0.098
3968 -0.121 -0.318 -0.032
4162 -0.101 0.041 0.133
4253 -0.022 -0.011 0.029
4430 -0.071 -0.011 -0.034
4513 -0.011 -0.074 -0.006
4778 -0.041 0.013 0.007
4921 -0.005 -0.030 0.020
5058 0.032 -0.034 0.010
5181 0.048 -0.133 0.079
5269 -0.013 -0.119 0.114
5419 0.058 0.036 0.075
5561 -0.017 -0.011 -0.068
5696 -0.006 0.028 -0.020
5789 0.017 -0.031 0.016
5881 0.047 -0.077 -0.005
6006 0.001 0.054 0.009
6091 0.031 -0.048 -0.027
6178 -0.038 0.033 -0.038
6273 -0.005 0.022 -0.022
6421 0.007 0.024 0.000
6763 -0.002 -0.007 0.022
6961 0.021 -0.026 0.039
7044 0.012 -0.009 0.021
7137 0.015 -0.039 0.015
7227 0.016 -0.022 0.011
7339 -0.001 -0.025 0.005
7535 0.010 -0.024 0.016
7625 0.011 -0.013 0.004
7714 0.007 -0.002 -0.001
7800 -0.011 -0.001 -0.005
7914 -0.022 -0.020 -0.012
8009 0.000 -0.011 -0.001
8091 0.007 -0.009 0.004
8191 0.012 -0.012 -0.001
8282 0.005 0.002 -0.001
8370 0.006 0.003 0.001
8477 0.010 -0.006 0.015
8580 0.001 0.015 0.005
8724 -0.006 0.004 0.012
8820 0.000 -0.006 0.013
8994 -0.005 -0.013 -0.012
9172 0.020 -0.018 0.009
9253 0.010 -0.016 0.011
9337 0.009 -0.005 0.007
9438 0.009 -0.008 -0.001
