START_TIME=1432051727388
INTERVAL=80
SENSOR=LACCE
SCENE_INDEX=6
COLS=+TIME aX aY aZ
====================
528 6.367 -4.110 9.290
642 5.474 4.430 -0.271
1163 3.594 4.697 3.639
1253 1.918 2.561 -0.018
1372 -1.036 0.522 -2.083
2348 1.255 7.309 -7.161
2439 -13.653 7.067 -4.414
2648 -9.086 15.107 -2.579
2893 6.949 -1.682 -1.197
3107 1.358 -1.384 -10.947
3222 6.714 -6.642 -4.309
3306 3.569 -2.575 -1.732
3417 3.282 1.135 -5.301
3552 -0.623 0.961 0.983
3652 0.386 2.928 -0.477
3737 -7.127 0.732 4.948
3857 -4.885 -1.026 5.868
3957 -4.498 -1.854 6.112
4148 -5.014 -2.238 5.634
4232 -3.137 -1.791 4.951
4320 -2.709 -1.853 4.486
4418 -2.251 -2.012 4.328
4503 -2.116 -2.128 3.512
4763 -1.579 -2.095 3.233
4912 -1.018 -1.761 2.242
5044 -0.734 -1.529 1.634
5168 -0.271 -0.967 0.916
5258 0.352 -0.631 0.504
5404 0.228 -0.138 0.178
5552 -0.109 -0.432 0.179
5686 0.034 -0.207 0.115
5782 0.008 0.034 -0.010
5873 0.119 -0.013 0.051
5991 -0.101 0.045 -0.056
6082 0.082 -0.179 0.118
6167 -0.012 -0.043 0.014
6263 0.201 0.056 0.046
6406 0.131 0.017 0.039
6747 0.081 0.042 0.009
6947 -0.049 -0.063 0.011
7032 -0.043 0.042 -0.037
7124 -0.090 -0.074 0.002
7206 -0.091 -0.083 0.006
7326 -0.054 -0.060 0.009
7523 -0.126 -0.089 -0.002
7618 -0.063 -0.072 0.012
7713 -0.053 -0.099 0.030
7798 0.027 -0.038 0.028
7912 -0.043 -0.080 0.025
8008 0.001 -0.032 0.016
8088 0.049 0.044 -0.003
8185 0.034 -0.062 0.043
8274 0.036 0.002 0.012
8362 -0.000 0.045 -0.022
8469 0.038 0.014 0.007
8572 0.010 -0.031 0.019
8713 0.012 -0.006 0.008
8812 0.019 0.003 0.006
8983 0.020 -0.026 0.020
9161 -0.046 -0.025 -0.003
9246 -0.087 -0.032 -0.014
9328 -0.078 -0.012 -0.020
9432 -0.015 -0.089 0.039
