START_TIME=1432225189463
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=5
COLS=+TIME Gx Gy Gz
====================
470 -6.830 6.816 -1.752
557 -4.659 7.505 -4.259
650 -4.843 7.583 -3.901
735 -4.751 7.545 -4.082
817 -3.495 8.482 -3.466
1079 -2.291 9.132 -2.744
1188 -1.219 9.142 -3.332
1275 0.177 8.908 -4.098
1378 1.065 8.781 -4.235
1540 1.487 8.483 -4.689
1632 3.085 7.138 -5.975
1864 1.777 7.456 -6.117
1994 1.705 4.276 -8.659
2087 2.476 2.769 -9.076
2280 5.133 -1.450 -8.229
2379 5.632 -1.674 -7.852
2501 5.611 -0.077 -8.042
2584 5.819 1.485 -7.753
2668 4.753 2.398 -8.236
2750 3.149 3.240 -8.704
3037 0.979 3.965 -8.916
3192 0.587 3.982 -8.943
3376 0.534 3.526 -9.135
3458 0.505 3.444 -9.168
3578 0.035 2.818 -9.393
3693 -0.510 2.396 -9.496
3887 -0.962 2.214 -9.505
4000 -1.036 2.153 -9.511
4117 -1.145 2.039 -9.524
4203 -1.197 2.001 -9.526
4309 -1.303 1.897 -9.533
4421 -1.397 1.850 -9.529
4525 -1.459 1.798 -9.529
4623 -1.504 1.733 -9.534
4733 -1.539 1.698 -9.535
4825 -1.563 1.686 -9.533
4909 -1.585 1.671 -9.532
5029 -1.616 1.655 -9.530
5141 -1.635 1.640 -9.529
5228 -1.638 1.623 -9.532
5375 -1.641 1.600 -9.535
5456 -1.650 1.595 -9.534
5570 -1.661 1.589 -9.533
5654 -1.671 1.580 -9.533
5754 -1.678 1.576 -9.533
5874 -1.684 1.574 -9.532
6046 -1.693 1.570 -9.531
6128 -1.696 1.568 -9.531
6235 -1.703 1.557 -9.531
6387 -1.704 1.546 -9.533
6522 -1.706 1.541 -9.533
6643 -1.712 1.535 -9.533
6730 -1.713 1.532 -9.534
6876 -1.713 1.516 -9.536
6991 -1.807 1.500 -9.521
7072 -1.834 1.501 -9.516
7156 -1.845 1.504 -9.513
7241 -1.844 1.505 -9.513
7331 -1.844 1.501 -9.514
7667 -1.846 1.499 -9.514
7751 -1.854 1.491 -9.514
7833 -1.856 1.490 -9.514
7915 -1.856 1.490 -9.513
8024 -1.858 1.488 -9.513
8115 -1.858 1.485 -9.514
8204 -1.860 1.481 -9.514
8298 -1.864 1.482 -9.513
8413 -1.867 1.481 -9.513
8499 -1.869 1.480 -9.513
8583 -1.874 1.478 -9.512
8776 -1.877 1.476 -9.511
8865 -1.880 1.474 -9.511
8988 -1.882 1.472 -9.511
9098 -1.883 1.471 -9.511
9198 -1.884 1.470 -9.511
9279 -1.885 1.470 -9.511
9361 -1.886 1.470 -9.511
9474 -1.887 1.469 -9.511
9576 -1.888 1.467 -9.511
