START_TIME=1432226422659
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=6
COLS=+TIME Gx Gy Gz
====================
442 9.099 1.672 -3.253
555 5.710 4.475 -6.599
693 5.648 4.706 -6.491
777 5.583 5.094 -6.249
857 5.602 5.253 -6.099
977 5.636 5.471 -5.871
1096 6.096 5.342 -5.520
1247 6.348 5.256 -5.315
1369 6.589 4.281 -5.868
1523 6.626 1.582 -7.054
1653 3.256 9.080 -1.768
1859 0.893 9.707 1.071
2001 1.281 9.099 3.426
2141 2.125 8.829 3.702
2471 2.166 8.721 3.927
2690 2.382 8.712 3.820
3007 2.675 8.693 3.666
3287 -0.170 5.677 7.995
3635 -0.880 3.821 8.989
3762 -1.006 3.479 9.113
3856 -1.254 2.804 9.313
4006 -1.310 2.648 9.351
4125 -1.470 2.213 9.440
4215 -1.544 2.002 9.475
4373 -1.563 1.943 9.484
4508 -1.616 1.803 9.503
4636 -1.643 1.728 9.512
4763 -1.656 1.693 9.516
4904 -1.689 1.604 9.526
5038 -1.706 1.554 9.531
5137 -1.714 1.531 9.534
5336 -1.722 1.509 9.536
5447 -1.729 1.488 9.538
5798 -1.742 1.450 9.541
5889 -1.759 1.401 9.545
5981 -1.774 1.357 9.549
6182 -1.782 1.331 9.551
6323 -1.787 1.319 9.552
6412 -1.795 1.296 9.554
6649 -1.801 1.276 9.555
6902 -1.806 1.266 9.555
6987 -1.817 1.238 9.557
7067 -1.819 1.229 9.558
7298 -1.824 1.213 9.559
7394 -1.834 1.184 9.561
7684 -1.837 1.170 9.562
7857 -1.839 1.164 9.562
7940 -1.840 1.158 9.563
8120 -1.842 1.152 9.563
8259 -1.845 1.141 9.564
8374 -1.848 1.131 9.564
8469 -1.850 1.125 9.565
8621 -1.853 1.116 9.565
8731 -1.858 1.102 9.566
8812 -1.862 1.093 9.566
9129 -1.865 1.085 9.566
9282 -1.868 1.067 9.568
9395 -1.871 1.060 9.568
9509 -1.873 1.054 9.568
