START_TIME=1432226374191
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=4
COLS=+TIME rX rY rZ
====================
491 0.151 0.721 0.268
599 0.452 -0.933 -0.063
760 -0.414 -2.471 0.119
891 0.172 -0.408 0.061
974 -0.072 0.221 0.130
1165 -0.197 -0.424 0.249
1299 -0.268 -0.303 0.367
1443 -0.467 0.071 0.382
1649 3.009 -1.578 2.271
1802 0.870 4.422 0.668
2061 -0.316 1.505 1.072
2217 0.670 -4.231 1.032
2506 0.475 1.730 -0.323
2621 -0.827 0.176 0.806
2751 -0.849 -0.776 -0.401
2920 0.412 0.951 0.337
3116 0.045 -0.187 -0.091
3258 -0.111 -0.138 -0.110
3399 -0.068 0.314 -0.029
3490 -0.210 0.036 -0.053
3602 -0.184 0.012 0.048
3688 -0.109 0.028 -0.035
3835 -0.009 -0.165 0.108
3938 -0.121 -0.292 0.074
4053 -0.187 -0.184 0.118
4247 -0.259 -0.242 0.040
4358 0.000 -0.183 0.062
4477 0.016 -0.076 0.047
4648 -0.053 0.012 -0.040
4728 -0.009 0.000 0.001
4931 0.006 -0.050 -0.027
5043 -0.002 -0.037 0.002
5271 -0.007 -0.011 -0.007
5393 0.000 -0.013 -0.009
5597 -0.021 -0.024 0.006
5863 -0.013 -0.030 -0.000
6192 -0.018 -0.005 0.051
6343 0.059 -0.057 0.073
6439 -0.012 -0.076 0.024
6528 -0.023 -0.067 -0.011
6634 0.006 -0.017 0.011
6755 0.009 -0.011 -0.015
6853 -0.037 -0.055 -0.005
6977 -0.026 0.006 -0.007
7111 -0.006 0.027 0.036
7320 -0.062 -0.076 0.034
7407 -0.017 -0.092 0.066
7531 -0.020 -0.114 0.056
7624 -0.009 -0.039 -0.020
7770 -0.011 0.022 -0.041
7948 -0.009 0.012 0.001
8063 0.018 -0.023 -0.005
8231 -0.015 -0.016 -0.014
8388 -0.011 0.007 -0.002
8490 -0.013 0.000 -0.003
8697 -0.012 -0.029 -0.018
8838 -0.012 -0.006 -0.007
16844 -0.020 -0.076 0.140
17633 0.051 0.139 0.287
