START_TIME=1432226374191
INTERVAL=80
SENSOR=GRAVITY
SCENE_INDEX=4
COLS=+TIME Gx Gy Gz
====================
426 9.018 -0.524 -3.816
548 8.181 -1.025 -5.310
738 6.256 -1.210 -7.454
828 5.634 -1.323 -7.917
908 5.297 -1.337 -8.144
994 1.234 3.972 -8.881
1134 0.834 6.849 -6.969
1231 -0.191 8.471 -4.937
1339 -0.534 8.892 -4.101
1429 -0.217 8.984 -3.925
1629 -0.567 8.404 -5.022
1728 3.451 4.940 -7.737
1838 1.397 2.410 -9.403
2040 4.604 1.678 -8.495
2195 5.938 2.090 -7.519
2439 5.251 -0.960 -8.227
2543 5.133 -0.135 -8.355
2670 5.381 0.371 -8.190
2805 4.778 0.895 -8.517
2928 5.146 0.629 -8.324
3099 8.542 -0.483 -4.793
3181 9.293 -1.703 -2.627
3339 9.462 -1.989 -1.642
3478 9.617 -1.878 -0.393
3580 9.655 -1.715 -0.072
3679 9.718 -1.291 0.246
3815 9.751 -0.913 0.499
3928 9.758 -0.902 0.371
4039 9.757 -0.943 0.277
4174 9.752 -1.032 0.067
4294 9.740 -1.130 -0.139
4409 9.718 -1.271 -0.342
4519 9.703 -1.349 -0.440
4658 9.700 -1.365 -0.473
4905 9.696 -1.367 -0.530
5020 9.692 -1.387 -0.560
5111 9.690 -1.395 -0.575
5248 9.688 -1.403 -0.592
5373 9.683 -1.419 -0.625
5489 9.681 -1.426 -0.642
5610 9.679 -1.433 -0.660
5844 9.677 -1.439 -0.681
6159 9.671 -1.453 -0.724
6277 9.665 -1.474 -0.759
6378 9.645 -1.530 -0.895
6458 9.633 -1.543 -0.999
6553 9.624 -1.548 -1.072
6694 9.616 -1.557 -1.134
6830 9.607 -1.563 -1.194
6955 9.600 -1.563 -1.249
7040 9.595 -1.565 -1.286
7173 9.575 -1.576 -1.415
7331 9.565 -1.589 -1.467
7421 9.504 -1.711 -1.710
7511 9.489 -1.732 -1.768
7620 9.450 -1.756 -1.946
7700 9.436 -1.766 -2.003
7811 9.423 -1.777 -2.052
7940 9.420 -1.780 -2.064
8049 9.402 -1.794 -2.135
8212 9.396 -1.799 -2.158
8316 9.389 -1.802 -2.184
8473 9.383 -1.804 -2.208
8673 9.377 -1.805 -2.233
8781 9.370 -1.804 -2.260
8875 9.361 -1.804 -2.300
16837 9.354 -1.718 -2.390
17617 1.007 -7.843 -5.800
