START_TIME=1432226769375
INTERVAL=80
SENSOR=ROTATE
SCENE_INDEX=6
COLS=+TIME rX rY rZ
====================
458 -0.166 -0.054 -0.016
553 -0.162 -0.198 0.007
655 -0.188 -0.083 -0.065
755 -0.202 0.133 -0.121
848 0.181 2.235 0.349
971 0.796 1.580 -0.046
1066 0.368 1.224 -1.138
1159 -0.940 -1.382 -0.520
1241 0.068 -0.386 0.443
1322 1.302 -2.963 3.072
1428 0.081 -7.611 11.521
1512 -2.294 -0.149 3.606
1605 -2.664 1.866 5.693
1729 -0.309 3.046 2.945
1819 2.252 -1.637 3.044
1913 -2.701 -5.362 1.919
2038 -0.547 -5.942 2.122
2124 -8.145 3.274 -2.607
2233 -0.106 -1.714 -0.608
2348 0.135 -1.159 -1.138
2432 0.457 0.938 -4.264
2520 -0.719 0.714 0.047
2618 0.928 0.518 0.047
2779 -0.023 0.573 -0.092
2871 0.301 0.164 0.177
2967 -0.215 -0.061 -0.046
3056 0.046 -0.140 0.020
3155 -0.058 -0.236 -0.008
3244 -0.193 -0.164 -0.010
3335 -0.072 -0.263 0.002
3435 -0.074 -0.122 -0.009
3563 0.085 0.075 -0.003
3650 0.068 0.045 0.006
3736 0.022 0.020 0.003
3825 0.002 -0.018 -0.005
3921 -0.017 -0.044 -0.003
4008 0.016 -0.008 -0.006
4104 0.033 0.009 -0.009
4230 0.014 0.006 0.006
4351 -0.006 -0.013 -0.003
4442 0.005 0.003 -0.013
4562 -0.026 -0.008 -0.002
4682 0.115 0.062 -0.025
4782 -0.023 0.003 0.061
4868 0.006 0.006 -0.037
4962 -0.057 -0.007 0.046
5067 0.027 0.020 0.002
5147 0.003 0.051 -0.016
5257 -0.045 0.149 0.029
5381 0.024 0.073 0.017
5477 -0.066 0.176 0.047
5598 0.072 0.176 -0.013
5679 -0.003 0.226 0.080
5803 0.015 0.265 0.022
5924 0.041 0.196 0.040
6035 0.096 0.221 0.016
6145 0.057 0.095 0.020
6242 0.015 -0.173 -0.019
6356 0.083 -0.189 0.036
6456 -0.022 -0.208 -0.020
6552 0.021 -0.045 0.006
6667 -0.009 0.051 0.011
6747 0.019 0.065 0.012
6848 -0.012 -0.001 -0.008
6936 0.019 -0.052 0.013
7027 -0.017 -0.040 -0.002
7147 0.006 0.048 0.003
7232 0.003 0.037 0.008
7330 0.000 0.014 0.009
7416 -0.012 -0.017 0.006
7519 0.025 0.015 -0.013
7618 0.011 0.021 -0.008
7712 -0.011 -0.007 -0.003
7792 0.004 -0.039 -0.004
7897 -0.009 -0.049 0.003
7997 0.013 -0.004 0.013
8087 0.004 -0.015 0.005
8167 -0.008 0.010 0.002
8271 0.022 0.014 -0.003
8391 0.002 -0.007 0.001
8483 -0.017 0.001 -0.013
8571 0.015 0.004 -0.000
8653 -0.005 0.012 -0.000
8757 0.000 -0.006 0.005
8862 -0.011 -0.010 0.001
8942 0.024 0.007 -0.000
9078 0.002 0.011 0.001
9179 0.000 -0.005 -0.002
9311 -0.009 -0.004 0.005
9416 0.000 0.020 -0.003
9541 0.008 -0.007 0.001
